id,ipb100,ipb111,jam_belajar,ikk322
570,B,C,7,BC
571,AB,BC,9,B
572,D,E,4,D
573,AB,A,8,AB
574,C,D,2,C
575,AB,A,9,B
576,C,C,4,AB
577,D,C,3,BC
578,E,D,0,BC
579,B,A,7,A
580,D,D,2,D
581,C,C,1,D
582,E,E,3,D
583,E,BC,5,E
584,BC,B,9,B
585,E,E,5,E
586,AB,A,8,A
587,C,E,2,C
588,C,D,9,B
589,BC,AB,7,A
590,AB,BC,6,AB
591,D,BC,2,BC
592,C,BC,2,E
593,BC,C,7,D
594,D,BC,4,B
595,E,C,1,BC
596,BC,BC,4,C
597,BC,C,0,C
598,C,BC,5,E
599,C,C,2,C
600,E,E,4,C
601,E,C,8,C
602,D,BC,1,BC
603,B,A,9,B
604,C,BC,3,A
605,E,BC,2,B
606,B,C,8,AB
607,E,D,2,E
608,D,C,1,D
609,BC,B,9,AB
610,BC,BC,9,A
611,B,B,10,AB
612,C,BC,5,B
613,B,BC,6,BC
614,E,BC,1,C
615,E,BC,2,A
616,C,D,6,BC
617,BC,AB,2,AB
618,BC,B,0,B
619,C,D,3,BC
620,C,BC,6,E
621,C,BC,8,B
622,C,D,2,C
623,BC,BC,5,BC
624,A,B,10,AB
625,BC,BC,7,B
626,E,D,4,E
627,D,C,2,E
628,C,D,0,BC
629,C,BC,6,C
630,C,B,4,BC
631,B,C,8,B
632,AB,C,5,C
633,AB,B,0,A
634,BC,C,6,C
635,E,BC,5,B
636,C,BC,5,D
637,A,BC,8,B
638,E,BC,3,BC
639,BC,BC,1,B
640,B,C,7,C
641,BC,B,3,C
642,BC,B,8,B
643,E,D,4,D
644,BC,B,2,AB
645,A,A,9,AB
646,A,AB,7,B
647,D,C,4,BC
648,AB,B,7,B
649,D,C,6,C
650,B,BC,7,B
651,AB,B,9,AB
652,A,C,8,B
653,BC,B,5,A
654,C,BC,0,C
655,BC,B,2,B
656,C,AB,6,AB
657,AB,B,7,AB
658,BC,C,8,B
659,E,E,4,D
660,B,AB,10,AB
661,D,E,5,C
662,D,D,5,D
663,A,BC,4,C
664,AB,B,6,B
665,D,C,3,BC
666,E,E,4,BC
667,E,C,0,D
668,BC,AB,5,AB
669,BC,E,6,E
670,E,E,4,C
671,C,E,2,D
672,C,BC,2,C
673,C,C,1,C
674,E,D,4,BC
675,AB,A,8,AB
676,AB,A,7,AB
677,BC,C,2,D
678,C,D,0,D
679,C,C,8,AB
680,A,C,2,D
681,C,BC,6,E
682,BC,A,10,A
683,B,A,1,C
684,BC,B,3,B
685,AB,BC,9,AB
686,BC,B,7,B
687,B,C,6,AB
688,A,A,8,AB
689,BC,A,0,B
690,B,B,9,B
691,E,BC,5,BC
692,D,D,1,BC
693,C,BC,3,BC
694,BC,BC,3,C
695,BC,BC,9,B
696,C,AB,1,A
697,E,D,1,D
698,AB,AB,9,AB
699,C,BC,1,C
700,A,AB,10,B
701,BC,B,1,B
702,BC,BC,2,BC
703,C,D,5,BC
704,D,E,3,E
705,D,BC,2,D
706,C,C,3,BC
707,BC,E,1,C
708,BC,C,5,BC
709,D,BC,2,BC
710,AB,AB,8,AB
711,BC,BC,2,A
712,A,B,8,AB
713,BC,B,1,BC
714,A,AB,9,AB
715,BC,D,8,D
716,B,BC,7,C
717,D,D,5,D
718,E,BC,6,BC
719,BC,B,4,B
720,BC,BC,5,D
721,C,BC,9,BC
722,B,BC,2,C
723,D,BC,4,BC
724,D,D,3,E
725,B,A,1,BC
726,BC,D,8,D
727,C,C,3,C
728,AB,A,9,A
729,E,BC,6,BC
730,AB,BC,6,BC
731,AB,AB,6,A
732,C,BC,2,AB
733,BC,BC,2,C
734,AB,AB,8,B
735,D,D,2,C
736,E,E,1,E
737,BC,B,1,C
738,B,AB,8,AB
739,C,C,4,BC
740,BC,BC,1,C
741,C,AB,0,A
742,BC,BC,6,A
743,C,AB,2,B
744,B,B,8,AB
745,BC,C,9,BC
746,E,BC,6,BC
747,B,AB,9,B
748,E,E,4,D
749,D,C,4,B
750,C,C,8,AB
751,C,E,6,BC
752,AB,C,9,AB
753,C,BC,7,BC
754,A,AB,1,A
755,C,C,6,C
756,D,BC,5,A
757,B,B,5,B
758,AB,A,7,AB
759,A,BC,8,BC
760,BC,E,2,BC
761,AB,AB,3,AB
762,A,AB,7,AB
763,C,C,2,BC
764,E,D,5,BC
765,BC,D,10,B
766,D,D,0,D
767,BC,BC,2,C
768,AB,B,7,B
769,B,AB,4,AB
770,AB,AB,7,A
771,C,C,3,BC
772,BC,BC,9,AB
773,A,A,9,AB
774,BC,C,9,AB
775,E,C,2,C
776,BC,BC,1,B
777,E,E,0,C
778,E,D,3,D
779,B,BC,4,AB
780,AB,B,8,A
781,B,B,7,B
782,D,C,0,B
783,BC,A,3,A
784,B,B,6,B
785,E,E,2,BC
786,C,C,1,D
787,C,C,0,C
788,D,D,5,D
789,C,BC,6,B
790,A,C,3,C
791,D,D,1,D
792,BC,BC,7,C
793,AB,AB,9,B
794,C,D,7,BC
795,C,D,4,C
796,C,E,1,E
797,C,B,6,AB
798,C,BC,1,C
799,BC,BC,4,B
800,AB,BC,6,BC
801,B,B,9,AB
802,BC,BC,10,B
803,BC,BC,5,AB
804,C,BC,7,B
805,A,B,8,B
806,BC,C,7,D
807,E,BC,4,D
808,D,C,2,D
809,AB,A,9,AB
810,BC,AB,1,AB
811,E,D,2,D
812,D,D,4,BC
813,B,B,1,B
814,C,C,3,BC
815,BC,AB,8,AB
816,BC,B,4,A
817,B,B,7,AB
818,C,B,2,B
819,B,AB,8,AB
820,A,B,3,AB
821,BC,C,4,BC
822,C,BC,4,C
823,C,C,1,C
824,E,BC,2,BC
825,D,E,1,E
826,C,C,6,AB
827,AB,B,8,A
828,E,D,0,C
829,C,BC,4,BC
830,E,BC,1,BC
831,B,A,1,A
832,D,C,3,C
833,C,E,2,BC
834,C,D,4,E
835,C,D,1,E
836,B,B,8,B
837,AB,A,9,AB
838,BC,A,8,B
839,D,C,1,D
840,C,D,2,C
841,E,E,4,E
842,E,BC,3,BC
843,C,B,0,B
844,E,D,3,C
845,C,BC,6,D
846,E,E,4,C
847,BC,C,5,BC
848,BC,E,1,D
849,BC,B,4,BC
850,BC,BC,1,BC
851,B,B,10,B
852,E,C,6,AB
853,BC,BC,8,A
854,E,C,3,AB
855,D,BC,5,BC
856,D,E,1,E
857,A,B,8,AB
858,B,BC,9,BC
859,BC,AB,7,B
860,E,E,3,D
861,BC,C,0,E
862,D,D,5,C
863,C,C,2,AB
864,BC,BC,4,C
865,D,E,3,E
866,C,D,4,C
867,C,C,7,C
868,BC,A,3,AB
869,BC,BC,3,D
870,BC,BC,9,B
871,AB,A,8,AB
872,D,D,4,C
873,B,B,9,B
874,E,D,1,C
875,D,C,7,C
876,BC,A,0,B
877,AB,B,9,B
878,AB,B,8,AB
879,D,D,5,E
880,AB,C,8,C
881,BC,B,8,AB
882,D,BC,2,B
883,BC,B,6,AB
884,C,C,5,E
885,D,C,9,BC
886,A,B,3,C
887,A,AB,8,B
888,B,A,9,B
889,C,D,5,BC
890,C,C,6,BC
891,C,C,1,B
892,AB,BC,8,AB
893,C,C,2,BC
894,AB,B,0,BC
895,BC,BC,2,A
896,BC,BC,7,A
897,C,C,0,C
898,A,A,8,B
899,E,D,4,BC
900,B,B,9,B
901,E,D,5,C
902,B,BC,5,C
903,BC,BC,7,BC
904,D,C,10,BC
905,A,A,4,AB
906,C,D,3,BC
907,BC,BC,8,AB
908,BC,BC,2,C
909,C,C,2,D
910,C,AB,4,B
911,D,E,6,C
912,BC,B,4,B
913,C,E,5,D
914,BC,B,1,BC
915,C,BC,5,B
916,C,C,0,C
917,A,AB,9,B
918,BC,AB,9,AB
919,A,BC,8,BC
920,D,C,4,D
921,C,E,7,C
922,B,A,7,AB
923,BC,B,2,C
924,BC,A,8,A
925,BC,BC,9,AB
926,D,D,0,BC
927,A,A,10,A
928,BC,B,5,BC
929,BC,BC,5,BC
930,E,C,0,B
931,BC,BC,9,BC
932,C,D,2,C
933,E,D,5,D
934,C,AB,6,AB
935,E,C,3,D
936,D,C,3,BC
937,BC,C,0,D
938,D,E,6,C
939,C,C,6,D
940,B,C,5,D
941,D,C,1,C
942,B,B,10,AB
943,BC,B,7,AB
944,E,D,9,C
945,AB,C,5,BC
946,C,D,6,BC
947,BC,E,5,D
948,BC,C,2,E
949,C,C,4,B
950,C,E,6,D
951,AB,AB,7,B
952,C,AB,1,AB
953,C,D,4,D
954,B,BC,5,B
955,BC,C,0,C
956,C,D,2,BC
957,BC,BC,3,BC
958,D,C,0,D
959,B,A,8,AB
960,D,C,4,BC
961,E,D,3,C
962,AB,B,9,B
963,C,D,0,D
964,BC,B,3,AB
965,A,A,9,AB
966,BC,BC,8,AB
967,C,D,1,D
968,BC,D,2,BC
969,C,C,9,BC
970,BC,BC,5,E
971,C,B,10,AB
972,D,D,10,C
973,D,BC,7,B
974,E,D,4,D
975,BC,BC,5,AB
976,B,A,9,B
977,BC,BC,9,BC
978,D,BC,4,C
979,BC,AB,3,BC
980,D,D,2,D
981,C,BC,4,C
982,A,A,6,AB
983,E,E,8,C
984,BC,B,4,AB
985,C,C,8,BC
986,BC,A,6,AB
987,E,D,6,E
988,A,A,8,AB
989,C,C,6,B
990,C,D,6,C
991,E,D,2,E
992,BC,E,4,BC
993,C,D,3,BC
994,D,D,2,D
995,BC,E,2,C
996,A,AB,3,AB
997,C,D,1,C
998,D,E,4,BC
999,AB,BC,3,AB
1000,B,AB,4,B
