id,kom203,kom206,jam_belajar,kom415
292,C,D,0,BC
293,C,D,3,D
294,C,C,3,C
295,C,C,5,D
296,E,E,3,E
297,BC,BC,3,A
298,AB,A,10,A
299,E,D,4,E
300,D,D,4,D
301,A,A,6,A
302,AB,A,8,AB
303,E,E,2,BC
304,B,AB,2,BC
305,D,C,2,E
306,AB,AB,8,A
307,A,B,8,AB
308,B,A,8,AB
309,C,BC,1,BC
310,C,D,1,D
311,D,D,2,E
312,BC,BC,3,E
313,C,BC,7,B
314,A,B,9,AB
315,BC,BC,10,BC
316,D,C,6,D
317,BC,C,9,AB
318,A,A,8,AB
319,A,B,8,B
320,C,D,5,D
321,C,BC,4,BC
322,AB,B,10,A
323,A,B,10,B
324,AB,AB,9,A
325,C,BC,5,B
326,C,BC,8,B
327,BC,BC,8,B
328,B,B,1,C
329,C,BC,9,BC
330,A,AB,5,A
331,C,C,6,D
332,C,BC,6,C
333,AB,B,6,AB
334,A,AB,10,B
335,BC,AB,1,C
336,D,D,5,E
337,B,B,6,AB
338,C,C,8,C
339,AB,B,9,AB
340,B,B,4,AB
341,C,BC,7,A
342,B,B,9,B
343,E,BC,3,C
344,BC,BC,0,B
345,D,BC,6,D
346,B,BC,8,BC
347,B,AB,3,BC
348,BC,AB,6,A
349,AB,C,5,BC
350,B,AB,9,AB
351,BC,E,3,D
352,C,C,6,D
353,C,BC,5,B
354,C,B,4,BC
355,BC,D,7,D
356,B,A,7,AB
357,BC,A,6,B
358,BC,E,2,D
359,AB,A,7,AB
360,AB,BC,10,B
361,AB,A,9,A
362,C,D,6,C
363,C,BC,2,BC
364,B,B,8,A
365,AB,C,8,B
366,BC,BC,2,B
367,AB,A,9,AB
368,C,BC,4,BC
369,A,AB,8,B
370,E,E,4,C
371,C,D,2,BC
372,C,C,5,D
373,C,AB,4,A
374,C,BC,6,B
375,A,B,8,B
376,BC,C,2,C
377,C,C,4,C
378,BC,B,6,B
379,D,C,5,C
380,E,BC,1,BC
381,C,C,6,BC
382,C,D,4,C
383,AB,A,7,A
384,E,E,2,E
385,A,BC,0,BC
386,D,D,10,B
387,AB,B,7,A
388,B,BC,10,BC
389,D,E,3,BC
390,E,C,3,D
391,D,BC,2,BC
392,E,BC,6,BC
393,C,BC,2,C
394,C,D,3,BC
395,C,C,10,BC
396,C,D,9,BC
397,BC,C,3,D
398,A,AB,8,AB
399,B,BC,4,B
400,C,C,4,C
401,BC,B,5,BC
402,BC,B,3,B
403,BC,BC,4,C
404,AB,C,7,C
405,AB,B,5,AB
406,B,BC,7,B
407,C,C,2,C
408,C,D,4,E
409,AB,AB,8,A
410,BC,B,7,AB
411,BC,C,8,C
412,B,AB,9,AB
413,BC,C,9,BC
414,D,E,4,C
415,D,C,6,BC
416,D,BC,1,C
417,E,D,1,D
418,C,BC,2,BC
419,D,C,7,B
420,BC,BC,9,AB
421,B,BC,10,B
422,D,E,3,C
423,AB,A,7,A
424,D,D,2,BC
425,BC,BC,6,AB
426,E,E,0,E
427,E,D,1,D
428,BC,C,5,E
429,B,BC,10,B
430,D,C,4,D
431,D,BC,6,BC
432,BC,AB,6,B
433,B,A,7,AB
434,C,E,2,D
435,AB,AB,3,A
436,AB,BC,10,A
437,C,BC,5,B
438,AB,AB,8,A
439,AB,AB,10,AB
440,A,B,9,AB
441,C,E,6,C
442,BC,C,5,C
443,BC,D,2,C
444,D,E,3,C
445,D,C,4,C
446,B,B,6,BC
447,D,BC,4,BC
448,D,D,5,D
449,BC,C,6,C
450,E,D,3,E
451,C,D,6,D
452,BC,C,4,C
453,BC,E,10,D
454,C,C,4,C
455,BC,B,3,B
456,B,A,8,A
457,BC,C,0,D
458,E,E,6,C
459,BC,BC,5,AB
460,A,BC,9,B
461,B,B,8,A
462,BC,C,8,B
463,BC,B,2,AB
464,E,BC,4,C
465,BC,B,3,C
466,AB,C,7,C
467,B,BC,7,C
468,C,BC,1,BC
469,E,E,2,E
470,C,BC,3,B
471,A,A,8,AB
472,BC,BC,1,D
473,E,C,4,BC
474,BC,BC,10,BC
475,BC,BC,9,AB
476,B,B,4,AB
477,C,C,6,AB
478,E,E,2,BC
479,B,B,8,AB
480,D,D,4,D
481,E,E,1,C
482,BC,C,6,BC
483,B,B,0,A
484,C,D,3,C
485,BC,BC,4,D
486,BC,B,5,B
487,BC,BC,6,BC
488,BC,C,0,BC
489,C,D,2,D
490,AB,AB,7,B
491,C,B,7,B
492,AB,AB,3,B
493,BC,B,8,B
494,B,C,10,B
495,E,D,5,C
496,C,BC,6,AB
497,BC,B,6,B
498,AB,AB,8,AB
499,E,C,3,BC
500,A,A,8,A
501,B,C,8,AB
502,AB,B,9,AB
503,D,C,1,D
504,BC,BC,9,BC
505,D,E,4,BC
506,D,D,5,C
507,C,D,3,D
508,B,BC,8,BC
509,C,C,8,AB
510,BC,BC,4,E
511,D,C,3,C
512,BC,A,3,A
513,BC,BC,3,BC
514,D,C,6,AB
515,A,AB,9,AB
516,C,AB,4,A
517,D,E,1,BC
518,AB,AB,8,AB
519,C,BC,2,BC
520,C,BC,10,B
521,B,A,4,A
522,C,BC,8,AB
523,B,B,10,AB
524,D,C,5,D
525,C,C,7,BC
526,BC,D,10,BC
527,E,E,1,E
528,BC,B,4,B
529,E,BC,3,E
530,C,C,10,BC
531,C,C,4,D
532,D,E,4,E
533,B,B,8,AB
534,E,BC,5,BC
535,E,BC,2,B
536,BC,BC,4,B
537,B,C,6,C
538,C,E,3,E
539,C,AB,4,AB
540,AB,BC,8,B
541,B,A,4,B
542,B,C,9,AB
543,E,E,4,E
544,D,D,3,C
545,D,C,0,D
546,C,D,5,D
547,C,D,1,C
548,C,BC,8,B
549,B,A,8,AB
550,BC,AB,5,AB
551,B,AB,10,A
552,C,BC,4,B
553,E,C,2,B
554,B,A,9,AB
555,B,C,7,D
556,D,BC,3,D
557,D,C,1,D
558,C,E,4,BC
559,BC,BC,5,C
560,D,E,3,BC
561,BC,D,4,BC
562,BC,B,3,BC
563,B,B,7,AB
564,BC,C,8,B
565,D,E,2,D
566,C,BC,4,E
567,E,E,1,C
568,C,BC,0,C
569,C,BC,9,AB
570,AB,A,9,AB
571,AB,BC,1,BC
572,BC,BC,2,B
573,BC,BC,6,B
574,C,E,6,D
575,C,C,1,BC
576,AB,B,10,B
577,C,C,6,D
578,C,B,5,AB
579,BC,BC,0,B
580,B,A,3,B
581,C,D,4,D
582,BC,B,7,B
583,AB,C,8,BC
584,C,C,0,BC
585,C,D,5,C
586,AB,AB,8,B
587,D,D,5,D
588,C,D,3,BC
589,A,AB,5,A
590,AB,B,7,B
591,C,BC,7,D
592,BC,C,7,E
593,C,BC,2,BC
594,A,B,10,AB
595,D,C,5,C
596,AB,BC,8,B
597,B,BC,10,B
598,E,E,2,E
599,E,BC,5,C
600,BC,BC,4,BC
601,C,B,6,B
602,BC,BC,2,A
603,AB,AB,10,AB
604,B,AB,4,AB
605,B,AB,6,AB
606,A,AB,7,A
607,B,C,8,BC
608,D,C,4,BC
609,BC,BC,5,AB
610,A,A,8,B
611,D,E,1,C
612,C,E,2,BC
613,C,C,6,BC
614,BC,E,7,BC
615,BC,C,4,D
616,AB,C,10,B
617,D,D,2,D
618,BC,D,7,D
619,D,D,3,D
620,E,D,2,C
621,C,B,6,A
622,AB,A,8,B
623,E,E,4,C
624,C,C,10,AB
625,D,C,4,C
626,AB,AB,4,AB
627,E,E,2,BC
628,AB,BC,8,AB
629,BC,BC,1,BC
630,B,B,9,AB
631,C,C,5,C
632,C,BC,6,BC
633,C,C,1,E
634,BC,BC,5,C
635,B,A,8,B
636,C,C,7,BC
637,C,E,4,C
638,BC,BC,7,AB
639,AB,A,7,A
640,C,E,0,BC
641,C,D,6,C
642,C,C,8,B
643,BC,C,8,AB
644,B,C,9,B
645,C,C,7,C
646,BC,BC,0,BC
647,A,B,8,AB
648,B,C,7,BC
649,A,B,10,AB
650,C,AB,5,A
651,E,BC,6,B
652,D,D,6,BC
653,D,D,4,BC
654,BC,BC,2,BC
655,C,E,0,E
656,C,C,7,BC
657,D,BC,2,BC
658,BC,BC,9,B
659,C,BC,4,BC
660,AB,BC,9,BC
661,E,D,2,BC
662,B,A,5,AB
663,E,E,2,D
664,C,BC,4,C
665,AB,B,9,B
666,BC,C,1,AB
667,D,D,1,C
668,E,BC,2,BC
669,E,D,1,D
670,BC,C,2,D
671,B,B,4,B
672,BC,B,2,AB
673,AB,AB,10,A
674,B,A,10,A
675,B,BC,10,B
676,BC,B,5,A
677,C,BC,2,C
678,A,B,10,B
679,BC,B,2,BC
680,D,C,3,C
681,E,E,5,C
682,E,D,4,D
683,BC,BC,4,BC
684,D,BC,0,E
685,BC,B,1,BC
686,D,D,5,D
687,D,C,2,C
688,AB,B,8,B
689,A,B,9,B
690,C,C,7,BC
691,B,A,8,A
692,BC,B,10,B
693,D,E,3,D
694,AB,BC,7,E
695,C,BC,2,C
696,BC,AB,5,A
697,BC,C,5,E
698,A,B,8,B
699,BC,BC,7,BC
700,BC,B,4,C
701,D,BC,8,B
702,C,E,1,BC
703,E,D,0,C
704,BC,C,5,D
705,BC,BC,0,BC
706,AB,A,6,A
707,C,BC,3,C
708,C,D,5,C
709,D,BC,2,A
710,C,C,3,BC
711,BC,BC,5,AB
712,C,AB,4,A
713,C,C,2,C
714,D,BC,1,B
715,B,B,1,B
716,BC,B,9,AB
717,A,A,7,B
718,B,B,10,AB
719,C,C,6,BC
720,D,D,2,D
721,C,BC,0,A
722,C,BC,1,BC
723,BC,C,7,E
724,C,BC,1,A
725,AB,A,8,AB
726,A,A,9,AB
727,BC,BC,5,AB
728,AB,B,10,A
729,A,B,9,A
730,AB,AB,10,AB
731,D,C,3,AB
732,C,C,0,C
733,BC,BC,0,E
734,BC,C,1,C
735,A,BC,8,BC
736,A,B,9,B
737,A,AB,5,AB
738,BC,C,8,D
739,E,E,2,C
740,AB,AB,7,AB
741,A,BC,5,C
742,A,AB,6,AB
743,E,D,9,C
744,C,B,2,C
745,BC,BC,2,E
746,B,AB,0,B
747,E,E,6,E
748,C,BC,7,B
749,BC,BC,7,B
750,E,D,4,C
751,E,D,3,E
752,C,AB,9,A
753,E,BC,3,BC
754,A,B,9,A
755,BC,D,5,D
756,B,B,7,B
757,C,C,7,D
758,D,BC,1,BC
759,A,AB,9,AB
760,AB,A,9,B
761,C,E,6,D
762,E,BC,1,B
763,AB,AB,9,B
764,B,BC,8,A
765,A,AB,8,A
766,D,D,2,BC
767,BC,BC,4,B
768,AB,AB,8,B
769,C,C,1,B
770,B,B,4,B
771,E,E,6,E
772,AB,AB,10,A
773,E,E,1,D
774,E,C,4,C
775,C,E,7,C
776,BC,BC,9,B
777,C,BC,5,B
778,D,E,2,E
779,A,AB,6,AB
780,B,C,2,C
781,AB,AB,7,AB
782,B,B,6,AB
783,B,C,8,D
784,B,B,9,B
785,C,C,5,D
786,BC,BC,5,C
787,E,D,3,D
788,D,E,3,E
789,D,E,3,E
790,C,C,6,BC
791,D,D,1,D
792,B,AB,1,AB
793,C,BC,5,BC
794,BC,C,9,BC
795,B,BC,7,A
796,BC,BC,3,BC
797,C,B,6,B
798,BC,BC,0,A
799,C,C,3,D
800,B,A,9,A
801,BC,BC,0,C
802,A,B,8,B
803,C,E,3,E
804,B,AB,7,B
805,D,D,1,C
806,E,C,2,BC
807,C,BC,6,AB
808,BC,AB,7,AB
809,C,BC,4,AB
810,C,B,1,AB
811,BC,BC,5,BC
812,D,E,1,E
813,AB,AB,10,A
814,D,C,4,BC
815,D,C,3,B
816,D,D,3,C
817,E,C,5,C
818,BC,D,6,E
819,BC,C,1,BC
820,E,D,4,BC
821,BC,E,9,E
822,D,D,1,C
823,B,BC,4,BC
824,E,D,6,E
825,E,D,1,BC
826,E,D,0,C
827,BC,BC,4,D
828,C,B,6,A
829,D,E,4,E
830,C,D,0,E
831,C,D,5,E
832,B,B,5,B
833,A,A,7,A
834,A,C,10,B
835,A,AB,6,B
836,C,BC,8,BC
837,D,BC,3,BC
838,A,B,8,AB
839,E,E,7,D
840,A,B,5,A
841,AB,BC,6,A
842,AB,BC,5,C
843,A,AB,8,A
844,BC,AB,0,AB
845,C,E,4,BC
846,D,D,9,D
847,BC,B,2,A
848,E,D,4,D
849,D,BC,4,B
850,C,AB,7,B
851,C,C,4,C
852,D,C,3,C
853,D,D,3,E
854,A,AB,9,AB
855,C,D,0,E
856,D,BC,6,BC
857,C,C,5,C
858,D,BC,5,BC
859,BC,BC,0,AB
860,C,BC,1,BC
861,BC,B,5,C
862,E,D,3,E
863,E,E,0,E
864,BC,C,7,AB
865,D,D,1,E
866,E,C,9,B
867,BC,D,1,D
868,AB,A,7,B
869,C,C,1,C
870,B,BC,5,E
871,D,BC,2,B
872,E,E,2,BC
873,BC,B,7,AB
874,A,AB,9,B
875,D,BC,7,BC
876,E,E,4,C
877,B,B,9,B
878,C,D,6,C
879,C,D,2,D
880,C,BC,2,C
881,AB,C,9,B
882,A,A,9,AB
883,A,AB,8,A
884,D,C,2,BC
885,A,AB,8,AB
886,C,C,5,BC
887,E,E,4,E
888,D,E,2,BC
889,C,C,5,C
890,C,D,9,B
891,A,C,0,C
892,A,AB,10,AB
893,D,C,1,AB
894,D,BC,5,D
895,BC,B,4,AB
896,BC,BC,10,AB
897,C,C,4,C
898,A,A,8,A
899,A,AB,10,A
900,BC,BC,1,B
901,C,BC,5,E
902,AB,C,9,B
903,D,C,0,D
904,E,E,9,D
905,D,C,4,B
906,C,BC,0,C
907,AB,AB,9,B
908,B,AB,7,AB
909,B,B,5,B
910,A,C,7,C
911,E,D,2,C
912,AB,AB,7,AB
913,B,BC,9,B
914,A,A,7,A
915,B,C,8,C
916,AB,B,7,A
917,C,BC,4,D
918,C,C,6,BC
919,E,C,3,D
920,BC,C,6,C
921,BC,C,4,D
922,C,BC,8,A
923,C,E,1,E
924,D,E,3,BC
925,D,BC,6,D
926,AB,A,10,AB
927,BC,B,7,A
928,D,D,1,D
929,D,C,0,E
930,D,E,8,E
931,B,B,7,B
932,BC,BC,7,BC
933,B,A,3,A
934,E,E,2,BC
935,BC,B,5,B
936,A,C,10,BC
937,C,C,1,C
938,A,AB,6,B
939,BC,D,7,BC
940,A,B,5,BC
941,BC,A,3,AB
942,BC,B,7,B
943,BC,C,5,BC
944,BC,BC,4,BC
945,E,D,2,D
946,B,A,5,AB
947,D,C,1,D
948,B,C,8,BC
949,A,A,8,A
950,C,D,3,C
951,D,BC,3,BC
952,E,BC,5,B
953,B,A,8,AB
954,E,E,5,E
955,AB,A,8,AB
956,AB,AB,8,B
957,D,BC,3,BC
958,D,BC,2,B
959,D,D,4,BC
960,BC,D,7,D
961,AB,B,7,AB
962,E,BC,3,AB
963,A,AB,10,A
964,BC,E,9,E
965,E,BC,2,BC
966,D,D,1,D
967,C,BC,4,BC
968,D,C,5,D
969,AB,AB,10,AB
970,BC,B,8,AB
971,D,D,4,D
972,A,A,10,AB
973,AB,A,6,A
974,BC,E,3,E
975,C,BC,1,B
976,D,D,1,C
977,D,D,3,E
978,D,D,0,D
979,AB,A,2,B
980,D,BC,9,B
981,E,C,4,D
982,A,A,9,A
983,D,E,2,BC
984,E,E,2,C
985,A,A,7,AB
986,A,AB,8,B
987,C,E,1,C
988,C,BC,1,B
989,E,BC,2,C
990,B,AB,6,B
991,AB,BC,9,A
992,A,A,7,AB
993,C,C,2,C
994,D,C,5,C
995,C,C,1,C
996,B,B,1,AB
997,E,E,4,D
998,D,E,1,D
999,E,D,3,E
1000,D,BC,1,BC
