id,mat100,kom101,kom209,jam_belajar,mat234
128,AB,B,BC,13,B
129,B,B,AB,9,B
130,BC,BC,B,5,C
131,AB,B,AB,18,A
132,AB,BC,B,20,A
133,BC,B,B,19,AB
134,AB,B,A,4,BC
135,AB,BC,BC,19,AB
136,BC,BC,BC,3,C
137,BC,BC,B,14,B
138,BC,B,A,8,B
139,BC,A,B,4,BC
140,A,B,AB,1,BC
141,B,B,BC,4,C
142,BC,BC,B,5,C
143,BC,BC,BC,6,C
144,BC,B,BC,6,BC
145,BC,BC,BC,20,AB
146,B,BC,B,16,AB
147,B,BC,BC,16,AB
148,A,BC,AB,15,AB
149,BC,B,B,1,C
150,BC,BC,A,11,B
151,AB,BC,B,8,BC
152,BC,BC,B,6,BC
153,A,AB,B,4,BC
154,B,B,BC,2,C
155,AB,A,BC,13,AB
156,AB,B,B,6,BC
157,BC,A,AB,14,AB
158,BC,BC,AB,9,BC
159,B,BC,BC,20,AB
160,B,BC,BC,11,B
161,A,AB,BC,13,AB
162,B,A,B,6,BC
163,BC,B,BC,15,B
164,BC,BC,BC,18,AB
165,B,BC,BC,19,AB
166,A,BC,B,5,BC
167,A,BC,BC,17,AB
168,A,BC,B,1,C
169,AB,BC,AB,13,AB
170,A,BC,BC,16,AB
171,BC,AB,AB,4,BC
172,A,AB,B,9,B
173,B,BC,B,15,AB
174,BC,B,B,19,AB
175,B,A,B,11,B
176,B,A,BC,13,AB
177,BC,B,B,7,BC
178,B,BC,B,5,BC
179,BC,AB,A,14,AB
180,B,BC,AB,13,B
181,BC,A,B,19,A
182,BC,BC,B,9,BC
183,B,BC,BC,20,AB
184,BC,BC,BC,16,B
185,AB,BC,BC,4,C
186,BC,AB,BC,11,B
187,A,BC,BC,11,B
188,AB,BC,A,11,B
189,BC,AB,BC,9,BC
190,BC,B,B,6,BC
191,AB,B,B,16,AB
192,BC,BC,B,16,AB
193,AB,BC,BC,19,AB
194,BC,B,BC,3,C
195,BC,BC,BC,12,B
196,A,AB,BC,2,BC
197,BC,BC,BC,19,AB
198,BC,BC,BC,1,D
199,B,AB,A,16,A
200,B,B,B,15,AB
201,BC,B,BC,3,C
202,BC,BC,BC,18,AB
203,BC,BC,AB,19,AB
204,AB,A,B,12,AB
205,AB,BC,AB,2,C
206,AB,BC,BC,7,BC
207,BC,BC,B,3,C
208,A,B,A,8,B
209,BC,BC,A,2,C
210,B,AB,BC,16,AB
211,B,BC,BC,11,B
212,A,BC,BC,10,B
213,BC,BC,B,19,AB
214,A,AB,BC,1,C
215,BC,AB,BC,18,AB
216,BC,BC,BC,15,B
217,BC,BC,BC,7,BC
218,BC,A,B,20,A
219,B,B,AB,2,C
220,A,B,B,20,A
221,B,BC,A,11,B
222,BC,BC,B,15,B
223,BC,BC,BC,20,AB
224,A,AB,B,14,AB
225,BC,BC,BC,16,B
226,BC,B,B,16,AB
227,B,BC,B,4,C
228,AB,BC,BC,11,B
229,A,AB,B,16,A
230,BC,B,BC,10,BC
231,BC,AB,B,6,BC
232,BC,BC,BC,5,C
233,BC,A,AB,20,A
234,B,BC,BC,7,BC
235,BC,BC,A,20,A
236,BC,B,B,18,AB
237,BC,B,BC,4,C
238,BC,B,BC,10,BC
239,AB,B,BC,11,B
240,B,BC,AB,16,AB
241,BC,BC,B,6,BC
242,BC,A,BC,12,B
243,B,BC,A,15,AB
244,BC,BC,BC,15,B
245,BC,AB,A,11,B
246,B,BC,AB,19,A
247,B,BC,B,7,BC
248,AB,BC,BC,15,AB
249,B,BC,BC,9,BC
250,BC,B,BC,17,AB
251,B,B,A,12,AB
252,BC,AB,A,13,AB
253,AB,B,BC,20,A
254,BC,BC,B,12,B
255,B,B,B,4,BC
256,BC,BC,BC,8,BC
257,B,AB,BC,20,A
258,B,BC,BC,2,C
259,A,B,BC,1,C
260,BC,BC,A,2,C
261,A,BC,A,12,AB
262,BC,AB,B,18,AB
263,A,A,A,9,AB
264,BC,BC,BC,6,C
265,B,BC,B,1,C
266,A,BC,BC,3,C
267,B,BC,B,20,A
268,BC,BC,BC,13,B
269,BC,B,BC,19,AB
270,BC,B,AB,18,AB
271,BC,BC,A,2,C
272,BC,BC,BC,9,BC
273,BC,BC,BC,2,C
274,B,A,B,3,BC
275,B,B,B,13,B
276,BC,B,AB,16,AB
277,BC,BC,B,12,B
278,B,B,BC,4,C
279,BC,AB,AB,20,A
280,BC,BC,AB,8,BC
281,B,BC,BC,9,BC
282,A,B,B,8,B
283,B,BC,BC,17,AB
284,B,B,BC,2,C
285,A,A,BC,12,AB
286,BC,B,AB,11,B
287,BC,BC,BC,11,BC
288,A,BC,AB,7,B
289,AB,BC,BC,14,B
290,BC,BC,BC,2,C
291,BC,BC,B,2,C
292,B,AB,BC,15,AB
293,BC,B,AB,11,B
294,BC,BC,BC,7,BC
295,BC,BC,BC,20,AB
296,AB,AB,BC,20,A
297,AB,B,BC,1,C
298,A,BC,B,11,B
299,BC,BC,BC,1,D
300,BC,B,BC,20,AB
301,B,A,B,11,B
302,B,BC,B,14,B
303,BC,BC,BC,8,BC
304,B,A,BC,3,BC
305,BC,BC,BC,1,D
306,BC,BC,BC,10,BC
307,BC,B,AB,20,A
308,AB,B,B,19,A
309,B,BC,A,18,A
310,B,BC,A,4,BC
311,BC,BC,BC,15,B
312,BC,BC,BC,18,AB
313,B,A,B,2,BC
314,B,BC,AB,11,B
315,BC,A,BC,17,AB
316,B,A,B,5,BC
317,A,BC,B,9,B
318,BC,BC,B,2,C
319,BC,BC,BC,16,B
320,BC,BC,BC,20,AB
321,B,BC,BC,12,B
322,BC,B,BC,3,C
323,B,A,BC,2,C
324,B,A,AB,15,AB
325,AB,BC,B,18,AB
326,AB,A,BC,19,A
327,B,A,BC,20,A
328,B,BC,BC,2,C
329,A,BC,B,13,AB
330,B,A,AB,5,BC
331,BC,BC,BC,17,AB
332,A,BC,AB,8,B
333,BC,BC,BC,16,B
334,B,BC,B,16,AB
335,B,BC,A,10,B
336,BC,BC,B,10,BC
337,B,B,BC,12,B
338,BC,BC,AB,2,C
339,B,BC,AB,11,B
340,BC,A,BC,13,B
341,A,B,BC,14,AB
342,BC,BC,BC,5,C
343,B,BC,A,16,AB
344,AB,B,BC,3,C
345,AB,BC,BC,2,C
346,BC,A,A,15,AB
347,BC,BC,BC,6,C
348,BC,AB,BC,16,AB
349,BC,AB,BC,13,B
350,AB,BC,BC,18,AB
351,A,BC,AB,5,BC
352,BC,B,BC,20,AB
353,A,BC,B,15,AB
354,BC,B,BC,15,B
355,B,BC,B,3,C
356,A,BC,B,19,A
357,B,BC,A,4,BC
358,B,BC,AB,18,AB
359,BC,BC,BC,3,C
360,AB,BC,BC,9,BC
361,AB,BC,B,16,AB
362,AB,B,BC,11,B
363,B,BC,BC,10,BC
364,B,AB,B,5,BC
365,AB,B,B,20,A
366,BC,B,B,19,AB
367,B,BC,A,14,AB
368,AB,B,B,15,AB
369,B,B,B,12,B
370,BC,AB,AB,6,BC
371,B,BC,AB,2,C
372,BC,BC,A,5,BC
373,AB,BC,A,15,AB
374,A,BC,B,18,A
375,BC,B,B,8,BC
376,AB,B,B,6,BC
377,AB,B,BC,12,B
378,A,B,B,3,BC
379,BC,BC,BC,2,C
380,BC,B,BC,7,BC
381,BC,A,A,4,BC
382,BC,BC,BC,11,BC
383,A,BC,BC,18,AB
384,B,BC,BC,18,AB
385,BC,BC,BC,7,BC
386,BC,BC,BC,19,AB
387,A,B,BC,7,BC
388,B,A,BC,2,C
389,B,BC,AB,1,C
390,AB,BC,BC,9,BC
391,B,BC,BC,14,B
392,BC,A,BC,20,A
393,BC,BC,A,5,BC
394,BC,BC,BC,12,B
395,B,BC,BC,18,AB
396,BC,B,BC,8,BC
397,B,B,BC,3,C
398,BC,B,BC,8,BC
399,B,BC,BC,12,B
400,B,BC,BC,7,BC
401,BC,AB,BC,9,BC
402,BC,BC,A,8,BC
403,BC,B,A,9,B
404,BC,B,AB,1,C
405,BC,BC,BC,6,C
406,AB,AB,BC,1,C
407,B,AB,AB,8,B
408,B,BC,AB,17,AB
409,B,AB,BC,17,AB
410,BC,BC,BC,5,C
411,BC,A,BC,8,BC
412,A,B,B,18,A
413,BC,BC,B,14,B
414,A,BC,AB,12,AB
415,B,BC,AB,1,C
416,B,B,B,13,B
417,BC,BC,B,17,AB
418,BC,A,BC,16,AB
419,BC,BC,BC,14,B
420,BC,BC,BC,17,AB
421,BC,A,BC,4,BC
422,BC,AB,B,1,C
423,B,AB,AB,2,BC
424,B,A,AB,6,B
425,BC,B,BC,11,B
426,B,AB,BC,12,B
427,BC,AB,AB,2,C
428,A,BC,BC,16,AB
429,BC,A,A,14,AB
430,BC,B,A,6,BC
431,B,BC,A,16,AB
432,A,B,B,19,A
433,AB,BC,BC,8,BC
434,B,BC,AB,14,AB
435,A,BC,B,8,B
436,BC,B,AB,10,B
437,B,AB,BC,6,BC
438,B,B,AB,12,B
439,BC,AB,A,10,B
440,BC,AB,AB,13,AB
441,A,BC,BC,2,C
442,BC,B,AB,20,A
443,BC,A,BC,1,C
444,AB,BC,B,20,A
445,BC,B,BC,11,B
446,BC,B,AB,11,B
447,BC,BC,BC,6,C
448,B,AB,BC,1,C
449,B,B,B,8,BC
450,BC,BC,BC,18,AB
451,A,A,BC,10,B
452,A,BC,BC,10,B
453,B,BC,A,15,AB
454,BC,BC,B,7,BC
455,BC,BC,BC,15,B
456,B,BC,B,1,C
457,B,BC,BC,11,B
458,BC,BC,AB,13,B
459,B,BC,A,20,A
460,BC,BC,AB,18,AB
461,B,B,BC,1,C
462,BC,B,AB,18,AB
463,AB,A,BC,8,B
464,BC,A,BC,2,C
465,B,B,BC,8,BC
466,A,B,A,17,A
467,BC,BC,A,1,C
468,BC,BC,BC,14,B
469,AB,BC,BC,16,AB
470,BC,BC,AB,5,BC
471,B,BC,BC,7,BC
472,BC,B,BC,4,C
473,BC,B,BC,2,C
474,BC,B,A,5,BC
475,AB,BC,BC,12,B
476,BC,AB,B,13,B
477,B,BC,B,19,AB
478,BC,BC,AB,1,C
479,B,B,B,7,BC
480,BC,B,B,18,AB
481,BC,B,B,11,B
482,BC,BC,BC,18,AB
483,BC,BC,BC,8,BC
484,BC,BC,AB,19,AB
485,BC,BC,B,1,C
486,AB,BC,AB,2,C
487,AB,AB,AB,7,B
488,BC,BC,B,4,C
489,BC,B,B,12,B
490,BC,B,B,18,AB
491,B,B,B,6,BC
492,B,BC,BC,3,C
493,B,A,A,20,A
494,BC,B,BC,19,AB
495,BC,BC,B,13,B
496,BC,BC,BC,20,AB
497,B,AB,A,15,AB
498,B,BC,BC,19,AB
499,A,B,BC,9,B
500,BC,A,B,3,BC
501,D,C,E,14,BC
502,E,D,D,9,C
503,D,C,E,5,D
504,E,E,C,14,BC
505,E,E,E,2,E
506,E,E,C,11,C
507,E,E,D,2,E
508,C,E,E,3,E
509,D,E,E,9,D
510,D,E,C,5,D
511,D,E,E,5,D
512,E,C,E,13,C
513,C,D,D,18,B
514,E,E,E,11,C
515,E,E,E,12,C
516,C,E,E,11,C
517,D,C,C,7,C
518,C,D,E,17,BC
519,C,E,D,13,BC
520,C,E,E,13,C
521,E,E,E,18,BC
522,E,C,E,1,E
523,D,D,D,4,D
524,E,C,C,3,D
525,C,C,C,1,D
526,E,D,D,6,D
527,E,E,E,4,E
528,E,D,E,17,BC
529,E,E,D,18,BC
530,C,E,E,1,E
531,E,E,E,7,D
532,E,E,C,15,BC
533,E,E,C,12,C
534,D,D,D,3,D
535,D,D,E,8,D
536,C,D,E,2,E
537,E,E,E,5,E
538,C,D,C,13,BC
539,C,C,C,14,BC
540,E,E,E,10,D
541,E,E,D,19,BC
542,E,C,E,17,BC
543,E,E,D,1,E
544,D,E,D,16,BC
545,D,D,C,11,C
546,E,D,D,11,C
547,E,D,E,5,D
548,E,E,E,20,BC
549,E,C,C,12,BC
550,E,E,E,1,E
551,E,E,E,8,D
552,D,C,C,1,D
553,E,D,E,16,BC
554,E,E,E,20,BC
555,E,E,D,11,C
556,C,D,C,19,B
557,E,E,D,3,E
558,D,D,C,6,D
559,E,E,D,3,E
560,D,D,E,19,B
561,D,E,E,1,E
562,C,D,D,19,B
563,C,C,E,6,D
564,E,E,C,6,D
565,E,D,D,14,BC
566,C,E,C,11,C
567,E,E,E,7,D
568,C,C,C,17,B
569,C,E,D,4,D
570,E,E,C,13,C
571,E,E,C,17,BC
572,D,E,C,7,D
573,E,D,E,15,BC
574,E,E,E,10,D
575,E,E,E,7,D
576,C,E,E,17,BC
577,C,E,C,4,D
578,D,C,C,11,BC
579,E,E,C,9,C
580,D,E,C,3,D
581,D,D,E,9,C
582,E,E,E,1,E
583,E,E,D,16,BC
584,E,D,E,12,C
585,D,E,D,17,BC
586,D,D,C,15,BC
587,D,C,D,7,C
588,E,C,C,1,E
589,D,E,E,8,D
590,E,E,E,13,C
591,E,E,E,3,E
592,E,C,E,12,C
593,E,C,E,10,C
594,E,C,E,3,E
595,D,E,E,20,B
596,C,C,E,12,BC
597,C,E,C,7,C
598,D,E,E,15,BC
599,E,C,E,6,D
600,E,D,D,3,E
601,E,D,E,19,BC
602,E,C,D,15,BC
603,C,E,E,3,E
604,E,C,E,13,C
605,D,E,D,6,D
606,D,C,E,4,D
607,D,E,C,11,C
608,E,D,C,16,BC
609,E,E,D,6,D
610,C,D,E,6,D
611,D,C,C,4,D
612,D,C,E,5,D
613,E,D,E,6,D
614,E,E,E,9,D
615,C,C,C,4,D
616,E,E,C,19,B
617,C,D,C,12,BC
618,C,E,E,9,C
619,E,E,C,8,D
620,D,E,E,20,B
621,D,C,E,13,BC
622,C,E,D,12,C
623,E,D,E,4,E
624,E,D,E,10,C
625,E,E,E,13,C
626,E,D,D,14,BC
627,E,E,E,10,D
628,C,E,E,4,D
629,E,C,E,8,D
630,E,E,E,2,E
631,E,E,C,15,BC
632,E,C,E,20,B
633,C,C,C,17,B
634,C,D,D,7,C
635,D,E,E,20,B
636,E,E,E,6,D
637,E,C,D,14,BC
638,E,E,E,16,BC
639,D,E,D,14,BC
640,C,C,D,5,D
641,D,C,E,3,D
642,D,E,D,12,C
643,E,D,E,14,C
644,C,D,D,8,C
645,D,D,C,1,E
646,E,E,D,18,BC
647,E,D,D,13,C
648,E,D,E,14,C
649,C,E,C,4,D
650,E,D,E,16,BC
651,E,C,C,14,BC
652,D,C,E,2,E
653,D,D,E,9,C
654,C,E,C,12,BC
655,D,E,D,5,D
656,E,D,E,13,C
657,E,C,D,17,BC
658,E,D,E,7,D
659,E,D,E,15,BC
660,E,C,C,3,D
661,D,D,E,2,E
662,D,C,E,2,E
663,C,D,D,11,C
664,E,C,C,9,C
665,E,D,D,5,D
666,C,E,E,2,E
667,E,D,C,6,D
668,D,D,D,17,BC
669,D,E,D,18,BC
670,E,E,E,7,D
671,E,C,E,10,C
672,D,C,D,17,B
673,D,C,C,6,C
674,D,C,D,10,C
675,E,C,C,5,D
676,D,D,E,15,BC
677,D,D,E,18,BC
678,C,C,E,4,D
679,E,C,E,16,BC
680,E,E,E,2,E
681,E,D,D,13,C
682,C,C,D,2,D
683,C,E,E,5,D
684,C,E,C,3,D
685,D,E,E,18,BC
686,E,E,E,12,C
687,C,D,E,4,D
688,E,D,E,12,C
689,E,E,D,6,D
690,D,E,E,12,C
691,C,C,E,19,B
692,E,E,E,10,D
693,C,C,E,13,BC
694,E,C,D,19,B
695,E,D,D,4,D
696,E,D,E,20,B
697,C,C,C,11,BC
698,C,C,C,13,BC
699,E,E,C,12,C
700,D,E,D,12,C
701,E,D,D,13,C
702,E,E,E,6,D
703,E,C,E,9,C
704,D,E,E,10,C
705,E,E,E,12,C
706,C,C,D,1,D
707,D,E,E,2,E
708,D,D,E,6,D
709,E,D,D,8,D
710,E,D,E,19,BC
711,C,C,E,17,B
712,C,C,D,13,BC
713,E,E,D,11,C
714,E,C,E,16,BC
715,D,E,E,19,BC
716,C,C,C,7,C
717,C,E,E,5,D
718,D,E,E,12,C
719,D,D,C,17,B
720,E,C,E,1,E
721,E,D,E,17,BC
722,D,D,C,6,D
723,C,C,E,16,BC
724,C,E,E,9,C
725,C,E,C,18,B
726,E,E,E,20,BC
727,C,D,D,15,BC
728,E,E,E,10,D
729,C,C,E,11,C
730,E,E,D,20,B
731,E,D,C,18,B
732,E,E,E,17,BC
733,D,D,D,15,BC
734,E,E,C,5,D
735,E,E,C,13,C
736,C,D,E,4,D
737,E,E,E,20,BC
738,D,E,E,9,D
739,C,E,E,12,C
740,E,E,E,20,BC
741,E,C,D,2,E
742,D,E,E,15,BC
743,D,E,C,10,C
744,E,E,E,2,E
745,E,D,C,12,C
746,C,D,E,6,D
747,E,C,D,7,D
748,E,C,D,5,D
749,E,D,E,13,C
750,E,C,D,10,C
751,C,C,D,19,B
752,E,E,C,6,D
753,E,E,C,8,D
754,D,D,E,2,E
755,C,C,E,5,D
756,D,C,E,7,D
757,C,E,E,6,D
758,C,C,E,19,B
759,E,E,E,11,C
760,E,E,C,7,D
761,C,E,C,4,D
762,E,E,E,10,D
763,D,E,D,16,BC
764,C,D,D,2,D
765,E,D,E,3,E
766,E,C,E,19,B
767,E,C,E,14,BC
768,E,E,E,7,D
769,C,C,E,16,BC
770,E,E,C,18,BC
771,E,E,D,14,C
772,E,E,E,15,C
773,C,C,E,13,BC
774,E,C,E,1,E
775,E,D,E,15,BC
776,D,D,D,15,BC
777,E,E,C,18,BC
778,C,C,E,16,BC
779,E,E,C,14,BC
780,C,C,C,10,BC
781,D,E,E,20,B
782,E,E,C,16,BC
783,E,C,D,3,D
784,E,D,D,16,BC
785,C,E,D,6,D
786,C,E,C,1,E
787,E,E,E,4,E
788,C,D,E,1,E
789,D,C,E,20,B
790,C,E,E,4,D
791,C,E,E,3,E
792,C,C,E,4,D
793,E,D,D,1,E
794,E,D,D,12,C
795,D,E,E,20,B
796,E,E,C,12,C
797,D,E,D,15,BC
798,E,E,E,6,D
799,D,E,D,2,E
800,D,E,E,16,BC
801,D,D,C,9,C
802,D,E,C,5,D
803,E,E,E,8,D
804,C,E,C,14,BC
805,E,E,C,18,BC
806,E,E,C,14,BC
807,E,C,E,14,BC
808,E,C,E,10,C
809,E,E,C,17,BC
810,E,E,E,20,BC
811,E,E,E,8,D
812,C,D,E,18,B
813,C,D,C,12,BC
814,E,C,C,9,C
815,C,E,C,10,C
816,E,E,E,20,BC
817,D,D,C,8,C
818,D,C,D,7,C
819,E,E,D,8,D
820,C,D,C,3,D
821,D,C,E,2,E
822,C,C,E,17,B
823,E,E,D,12,C
824,E,C,E,18,BC
825,E,C,D,12,C
826,D,E,E,4,E
827,C,E,E,3,E
828,E,E,E,13,C
829,C,E,E,10,C
830,D,E,E,3,E
831,E,D,E,9,D
832,E,E,E,17,BC
833,E,D,E,10,C
834,E,E,E,18,BC
835,E,C,C,19,B
836,E,C,C,7,C
837,D,E,C,14,BC
838,D,C,C,14,BC
839,D,E,E,9,D
840,E,E,E,17,BC
841,D,E,E,15,BC
842,D,E,E,18,BC
843,D,D,D,13,BC
844,E,C,D,1,E
845,C,E,D,6,D
846,E,D,C,8,C
847,D,C,E,13,BC
848,E,E,D,15,BC
849,E,E,D,7,D
850,E,E,E,3,E
851,C,E,D,6,D
852,E,C,E,5,D
853,E,E,C,16,BC
854,C,C,E,20,B
855,D,E,C,12,C
856,E,C,E,16,BC
857,D,C,E,19,B
858,E,E,D,15,BC
859,E,D,C,1,E
860,E,E,E,17,BC
861,E,E,D,19,BC
862,D,C,E,7,D
863,E,E,C,13,C
864,E,E,E,18,BC
865,E,E,C,9,C
866,E,E,E,9,D
867,E,C,C,16,BC
868,E,C,C,7,C
869,E,D,E,15,BC
870,C,C,E,4,D
871,C,E,E,5,D
872,C,D,E,15,BC
873,D,C,E,15,BC
874,E,C,C,6,D
875,E,D,D,15,BC
876,E,C,C,8,C
877,C,D,D,7,C
878,C,E,E,19,B
879,E,D,E,20,B
880,C,E,E,5,D
881,C,C,D,5,D
882,D,E,E,11,C
883,D,E,C,15,BC
884,D,E,D,3,E
885,E,E,E,9,D
886,E,C,E,12,C
887,E,E,D,9,D
888,C,D,E,4,D
889,D,D,D,5,D
890,E,E,D,20,B
891,E,E,E,15,C
892,C,D,E,3,D
893,C,C,C,5,C
894,C,E,D,6,D
895,E,E,C,9,C
896,E,E,E,15,C
897,E,C,D,4,D
898,D,C,E,18,B
899,C,E,C,12,BC
900,E,E,C,5,D
901,E,C,C,18,B
902,C,C,C,17,B
903,C,C,D,12,BC
904,E,E,D,8,D
905,D,E,E,2,E
906,E,E,E,3,E
907,D,C,E,2,E
908,C,E,D,16,BC
909,E,E,C,14,BC
910,C,E,D,14,BC
911,E,D,E,1,E
912,E,C,C,1,E
913,E,E,D,19,BC
914,E,D,C,4,D
915,E,D,E,1,E
916,E,E,C,13,C
917,D,E,D,12,C
918,E,E,D,9,D
919,D,E,E,18,BC
920,C,E,D,13,BC
921,E,D,D,14,BC
922,E,E,E,13,C
923,E,E,E,7,D
924,D,E,E,2,E
925,E,E,E,9,D
926,E,C,E,15,BC
927,E,E,C,13,C
928,E,D,E,6,D
929,E,D,E,5,D
930,E,E,D,13,C
931,E,E,E,11,C
932,C,C,C,6,C
933,C,E,E,11,C
934,E,C,E,12,C
935,E,E,E,17,BC
936,E,C,D,6,D
937,C,C,E,16,BC
938,E,D,C,12,C
939,E,D,E,17,BC
940,C,D,E,18,B
941,D,D,D,12,C
942,E,D,C,15,BC
943,D,E,D,13,C
944,E,E,C,1,E
945,E,D,C,13,BC
946,E,E,E,13,C
947,E,E,C,13,C
948,E,D,C,3,D
949,C,E,E,19,B
950,D,C,C,12,BC
951,E,E,C,13,C
952,E,E,D,18,BC
953,E,D,E,15,BC
954,D,D,E,8,D
955,E,C,E,18,BC
956,E,D,C,1,E
957,D,D,D,14,BC
958,E,C,C,12,BC
959,E,C,D,9,C
960,E,D,D,1,E
961,E,C,C,7,C
962,C,C,D,8,C
963,E,E,D,20,B
964,D,E,E,3,E
965,E,D,E,15,BC
966,E,D,D,8,D
967,D,C,E,3,D
968,E,E,D,14,C
969,D,C,E,17,BC
970,C,C,C,20,AB
971,C,C,D,18,B
972,C,E,C,5,D
973,E,C,C,16,BC
974,C,C,E,12,BC
975,E,C,C,10,C
976,D,E,D,18,BC
977,E,E,E,3,E
978,D,D,D,2,E
979,C,E,E,3,E
980,E,C,D,9,C
981,C,E,E,15,BC
982,D,D,C,4,D
983,E,E,D,20,B
984,E,D,C,12,C
985,C,E,E,18,BC
986,C,E,E,5,D
987,D,E,E,10,C
988,E,E,E,5,E
989,E,D,E,6,D
990,D,C,E,7,D
991,E,E,C,15,BC
992,D,E,E,4,E
993,E,C,E,10,C
994,E,E,E,7,D
995,C,E,D,11,C
996,E,C,D,14,BC
997,E,E,E,11,C
998,C,E,C,12,BC
999,C,D,D,5,D
1000,E,E,D,2,E
