id,mat100,mat103,waktu_belajar,mat219
132,A,AB,8,B
133,BC,A,7,B
134,A,A,10,A
135,A,A,8,A
136,A,AB,7,A
137,A,A,8,A
138,AB,AB,10,A
139,B,B,13,B
140,AB,AB,7,A
141,BC,A,2,BC
142,B,AB,7,B
143,AB,BC,7,A
144,A,AB,7,AB
145,B,A,10,AB
146,A,A,13,A
147,AB,AB,7,B
148,BC,AB,7,A
149,AB,BC,10,B
150,AB,A,8,A
151,A,A,13,A
152,A,AB,14,AB
153,A,BC,2,B
154,BC,A,7,BC
155,A,AB,8,A
156,AB,AB,10,B
157,AB,AB,13,AB
158,BC,AB,7,A
159,A,A,15,A
160,A,BC,10,B
161,AB,A,9,AB
162,B,A,11,AB
163,AB,AB,12,AB
164,B,BC,5,C
165,AB,A,15,B
166,A,A,8,A
167,A,A,8,A
168,AB,BC,5,A
169,BC,A,10,A
170,AB,A,13,B
171,AB,AB,7,AB
172,A,A,13,A
173,AB,A,7,AB
174,B,B,9,A
175,A,A,8,A
176,A,A,8,A
177,B,AB,14,AB
178,A,A,15,A
179,A,A,8,A
180,AB,A,7,A
181,AB,BC,7,A
182,B,A,14,B
183,A,AB,8,A
184,B,A,10,A
185,A,A,8,A
186,A,A,13,A
187,A,AB,9,A
188,AB,AB,11,B
189,A,A,13,A
190,A,B,8,A
191,A,A,8,A
192,A,BC,2,B
193,A,A,8,A
194,AB,A,8,AB
195,A,A,13,A
196,AB,A,14,AB
197,AB,AB,13,B
198,B,AB,11,AB
199,B,AB,7,AB
200,BC,A,7,BC
201,BC,A,7,BC
202,AB,A,9,B
203,A,A,10,A
204,A,A,8,A
205,BC,A,7,B
206,A,A,8,A
207,BC,A,10,A
208,A,A,10,A
209,A,B,14,AB
210,B,B,7,B
211,A,A,15,A
212,AB,A,10,A
213,A,A,10,A
214,AB,AB,12,B
215,B,A,13,B
216,A,B,13,B
217,A,A,10,A
218,B,AB,14,A
219,A,AB,9,A
220,A,B,8,B
221,AB,AB,12,AB
222,A,A,15,A
223,A,A,13,A
224,A,A,8,A
225,AB,A,7,A
226,A,B,14,A
227,BC,A,2,B
228,AB,AB,7,A
229,B,AB,15,AB
230,AB,BC,7,B
231,BC,A,2,B
232,AB,A,11,AB
233,AB,AB,15,AB
234,AB,A,9,A
235,AB,AB,11,A
236,B,A,15,A
237,AB,A,12,A
238,A,B,9,A
239,A,AB,12,A
240,A,A,15,A
241,AB,A,12,B
242,BC,AB,7,BC
243,AB,B,7,A
244,AB,A,13,AB
245,A,A,10,A
246,AB,AB,10,AB
247,B,AB,13,A
248,A,BC,2,A
249,A,B,11,AB
250,A,A,8,A
251,B,AB,11,B
252,A,AB,9,B
253,A,A,13,A
254,BC,A,5,B
255,B,B,15,AB
256,A,BC,5,A
257,A,A,15,A
258,A,BC,10,A
259,AB,A,10,AB
260,B,B,15,B
261,AB,A,14,A
262,A,BC,7,BC
263,A,A,8,A
264,BC,A,2,BC
265,BC,AB,5,A
266,A,A,8,A
267,BC,B,8,B
268,A,AB,11,AB
269,A,AB,11,AB
270,AB,B,12,AB
271,A,A,13,A
272,B,BC,4,B
273,A,B,15,AB
274,BC,BC,5,B
275,A,A,10,A
276,BC,BC,8,B
277,AB,A,7,AB
278,A,A,13,A
279,A,B,9,B
280,AB,AB,11,B
281,A,BC,2,A
282,AB,A,7,B
283,AB,B,10,AB
284,BC,A,10,BC
285,A,A,8,A
286,A,B,10,A
287,A,A,15,A
288,A,BC,5,B
289,B,A,11,AB
290,A,AB,13,B
291,AB,A,12,A
292,A,B,10,AB
293,B,B,10,AB
294,A,A,15,A
295,A,A,8,A
296,A,A,15,A
297,A,AB,7,AB
298,AB,BC,7,BC
299,B,B,9,B
300,AB,A,14,A
301,AB,AB,8,AB
302,B,BC,5,B
303,BC,A,7,B
304,AB,AB,8,A
305,AB,B,7,AB
306,BC,BC,6,BC
307,A,A,8,A
308,A,A,10,A
309,A,B,13,B
310,A,AB,7,AB
311,AB,A,13,B
312,A,B,9,AB
313,AB,A,10,AB
314,A,B,15,AB
315,A,AB,7,AB
316,AB,AB,8,B
317,AB,A,12,B
318,AB,A,14,A
319,BC,BC,4,BC
320,A,B,13,A
321,A,B,8,A
322,A,A,8,A
323,A,AB,9,B
324,BC,BC,5,C
325,A,A,8,A
326,AB,AB,14,A
327,AB,A,13,A
328,A,A,10,A
329,A,AB,7,A
330,B,A,12,A
331,AB,AB,14,B
332,AB,AB,9,AB
333,A,AB,11,B
334,AB,AB,8,A
335,BC,A,7,A
336,A,AB,7,A
337,BC,AB,5,B
338,A,A,15,A
339,A,AB,9,AB
340,A,AB,9,A
341,B,AB,7,AB
342,AB,A,15,A
343,BC,A,7,B
344,B,A,14,B
345,AB,AB,13,AB
346,AB,AB,14,AB
347,BC,A,5,B
348,A,AB,12,A
349,A,B,15,B
350,AB,A,11,AB
351,A,A,8,A
352,A,B,15,B
353,A,B,9,B
354,B,BC,7,BC
355,A,AB,11,AB
356,AB,BC,5,A
357,A,A,13,A
358,AB,AB,9,B
359,B,AB,8,B
360,A,AB,15,A
361,AB,A,11,AB
362,AB,A,12,B
363,BC,A,2,BC
364,A,B,11,B
365,A,A,15,A
366,BC,AB,7,B
367,A,A,13,A
368,B,A,10,AB
369,AB,A,9,B
370,BC,BC,5,C
371,A,AB,12,A
372,AB,A,7,AB
373,BC,BC,4,B
374,A,A,15,A
375,BC,BC,5,B
376,A,A,10,A
377,AB,A,11,A
378,AB,A,15,B
379,B,BC,5,C
380,BC,A,5,B
381,B,A,9,B
382,A,B,10,A
383,A,A,13,A
384,A,A,13,A
385,A,A,15,A
386,BC,AB,5,BC
387,A,A,10,A
388,A,A,8,A
389,A,AB,11,A
390,B,A,11,B
391,BC,A,5,A
392,A,A,13,A
393,AB,A,14,B
394,AB,B,10,A
395,A,B,11,AB
396,B,A,15,AB
397,AB,AB,7,B
398,AB,A,13,A
399,B,A,8,A
400,AB,A,7,AB
401,A,A,10,A
402,A,AB,8,B
403,B,B,7,B
404,A,AB,10,B
405,AB,B,13,AB
406,AB,B,14,B
407,BC,A,10,BC
408,A,AB,11,AB
409,A,A,10,A
410,A,A,8,A
411,AB,A,8,AB
412,A,A,8,A
413,A,A,10,A
414,AB,BC,2,BC
415,AB,A,14,AB
416,A,AB,13,AB
417,A,AB,11,A
418,BC,AB,7,B
419,B,A,9,B
420,A,A,13,A
421,BC,A,2,B
422,AB,BC,7,BC
423,BC,A,7,BC
424,A,B,9,AB
425,A,A,10,A
426,A,A,10,A
427,AB,AB,12,A
428,BC,A,2,B
429,A,AB,11,A
430,AB,A,12,B
431,BC,AB,5,B
432,A,AB,10,AB
433,A,B,10,A
434,AB,A,15,A
435,B,A,11,AB
436,B,A,13,AB
437,AB,AB,11,A
438,A,BC,10,A
439,A,AB,9,AB
440,AB,A,15,A
441,A,AB,11,AB
442,AB,BC,7,BC
443,AB,A,12,AB
444,A,A,13,A
445,B,AB,13,AB
446,A,AB,7,B
447,A,A,8,A
448,A,A,8,A
449,AB,A,12,B
450,A,A,8,A
451,AB,AB,11,A
452,AB,BC,2,BC
453,AB,BC,2,BC
454,AB,A,9,B
455,A,A,15,A
456,A,A,13,A
457,AB,AB,9,AB
458,B,A,7,A
459,AB,A,11,B
460,AB,AB,15,A
461,A,A,15,A
462,BC,A,5,BC
463,A,A,13,A
464,AB,A,11,AB
465,BC,AB,2,B
466,A,A,13,A
467,AB,A,9,AB
468,AB,A,9,AB
469,B,AB,11,B
470,AB,AB,8,B
471,AB,AB,9,A
472,AB,B,7,A
473,AB,B,9,AB
474,A,BC,10,BC
475,AB,A,13,B
476,A,B,13,A
477,AB,AB,7,B
478,AB,B,9,AB
479,B,A,8,B
480,B,A,13,AB
481,BC,A,7,BC
482,AB,AB,10,A
483,BC,A,2,BC
484,AB,AB,14,AB
485,A,AB,9,A
486,AB,A,11,B
487,B,A,10,B
488,A,A,8,A
489,AB,B,14,B
490,A,A,15,A
491,AB,AB,13,A
492,A,AB,7,B
493,A,A,15,A
494,A,AB,8,B
495,AB,A,9,AB
496,B,AB,11,AB
497,AB,AB,7,A
498,A,AB,14,A
499,A,AB,10,A
500,AB,AB,13,B
501,AB,A,10,A
502,BC,AB,2,B
503,AB,AB,8,A
504,AB,A,7,A
505,A,A,8,A
506,A,AB,7,A
507,BC,B,4,B
508,A,AB,14,AB
509,AB,BC,10,B
510,AB,A,8,A
511,BC,A,2,B
512,A,A,15,A
513,A,A,15,A
514,AB,A,7,AB
515,A,AB,15,AB
516,BC,AB,7,BC
517,A,AB,9,A
518,AB,A,11,B
519,A,A,8,A
520,AB,B,10,AB
521,BC,BC,8,BC
522,A,A,15,A
523,A,AB,7,B
524,AB,A,7,AB
525,A,AB,8,AB
526,A,A,15,A
527,B,A,11,B
528,BC,A,7,B
529,AB,A,14,A
530,BC,BC,9,BC
531,AB,AB,7,B
532,A,AB,8,AB
533,A,BC,5,BC
534,A,A,8,A
535,B,A,14,AB
536,AB,B,12,A
537,A,B,9,A
538,B,AB,9,AB
539,AB,B,10,AB
540,AB,A,7,B
541,A,A,15,A
542,A,A,10,A
543,A,B,8,B
544,A,A,15,A
545,A,A,13,A
546,AB,AB,11,B
547,A,A,15,A
548,B,A,15,A
549,A,B,15,AB
550,A,A,8,A
551,AB,AB,15,B
552,A,A,13,A
553,A,A,10,A
554,BC,A,5,B
555,A,A,8,A
556,BC,B,4,BC
557,B,A,15,B
558,A,A,8,A
559,A,A,13,A
560,A,AB,9,AB
561,AB,A,15,B
562,BC,BC,8,BC
563,AB,B,15,A
564,B,A,12,B
565,A,B,9,B
566,A,A,8,A
567,A,BC,7,B
568,A,B,14,AB
569,AB,A,7,AB
570,A,A,10,A
571,BC,AB,10,BC
572,BC,A,5,B
573,AB,BC,5,B
574,A,AB,13,AB
575,A,BC,7,B
576,A,A,13,A
577,BC,BC,7,C
578,AB,AB,15,B
579,AB,AB,8,B
580,BC,A,7,BC
581,AB,B,13,AB
582,BC,A,5,BC
583,BC,AB,5,B
584,A,A,15,A
585,A,A,10,A
586,B,BC,5,C
587,A,B,10,B
588,AB,A,14,B
589,BC,AB,7,BC
590,A,A,15,A
591,A,A,13,A
592,A,A,13,A
593,A,A,10,A
594,A,AB,10,AB
595,B,AB,15,B
596,A,A,8,A
597,A,A,13,A
598,A,AB,13,B
599,A,AB,12,B
600,A,B,8,AB
601,BC,BC,9,BC
602,A,A,13,A
603,BC,AB,2,A
604,B,AB,8,AB
605,A,B,12,B
606,BC,AB,10,A
607,B,BC,8,BC
608,AB,A,10,B
609,A,A,8,A
610,AB,AB,10,A
611,AB,AB,9,AB
612,A,A,13,A
613,A,A,13,A
614,AB,B,11,AB
615,BC,BC,7,B
616,A,B,14,AB
617,BC,A,7,BC
618,A,A,15,A
619,B,A,10,AB
620,A,A,8,A
621,A,B,15,AB
622,A,B,7,A
623,AB,A,14,AB
624,AB,AB,10,AB
625,B,BC,7,BC
626,A,A,10,A
627,A,A,10,A
628,B,A,11,B
629,AB,AB,12,B
630,A,AB,11,A
631,AB,AB,14,AB
632,B,AB,9,AB
633,B,A,9,AB
634,A,AB,12,B
635,A,A,10,A
636,BC,B,5,B
637,A,B,7,A
638,AB,A,14,A
639,A,A,10,A
640,AB,A,15,B
641,A,BC,5,BC
642,AB,AB,14,AB
643,A,A,15,A
644,BC,B,5,C
645,BC,A,5,BC
646,B,B,13,A
647,AB,A,10,AB
648,B,B,15,B
649,A,B,7,B
650,B,BC,5,C
651,A,A,10,A
652,A,A,15,A
653,AB,AB,11,AB
654,A,AB,14,AB
655,AB,A,15,B
656,B,A,15,A
657,A,AB,9,AB
658,A,AB,13,A
659,BC,A,7,BC
660,A,A,8,A
661,BC,BC,7,C
662,A,AB,7,B
663,A,A,15,A
664,A,A,8,A
665,A,AB,11,AB
666,AB,AB,7,A
667,BC,A,5,BC
668,BC,A,2,A
669,B,AB,7,AB
670,AB,B,15,B
671,A,A,15,A
672,A,A,15,A
673,BC,AB,2,A
674,A,B,11,AB
675,BC,A,10,A
676,AB,A,14,AB
677,A,AB,11,B
678,AB,BC,10,B
679,AB,A,13,AB
680,A,A,8,A
681,AB,A,10,AB
682,AB,AB,12,A
683,A,A,10,A
684,BC,AB,7,A
685,B,A,13,AB
686,AB,A,13,AB
687,A,A,15,A
688,AB,A,11,AB
689,A,A,10,A
690,A,A,15,A
691,BC,BC,6,C
692,A,A,8,A
693,BC,AB,5,A
694,BC,B,4,B
695,AB,A,8,A
696,AB,B,7,B
697,AB,A,14,AB
698,B,BC,4,B
699,A,A,13,A
700,AB,A,8,B
701,A,B,7,A
702,A,B,14,AB
703,A,A,8,A
704,A,A,13,A
705,BC,A,7,B
706,B,B,14,B
707,A,A,13,A
708,A,A,13,A
709,BC,AB,2,A
710,B,B,15,AB
711,A,BC,7,B
712,B,A,10,B
713,A,A,8,A
714,A,A,13,A
715,A,AB,13,AB
716,A,AB,15,A
717,A,A,8,A
718,A,A,13,A
719,A,A,15,A
720,AB,A,11,B
721,AB,A,11,B
722,A,B,10,AB
723,B,B,10,A
724,AB,AB,15,B
725,AB,BC,10,B
726,AB,AB,10,B
727,A,B,12,B
728,A,BC,2,BC
729,AB,AB,7,AB
730,B,A,11,A
731,AB,B,12,AB
732,A,A,15,A
733,A,A,10,A
734,AB,A,14,B
735,AB,A,14,AB
736,AB,A,11,A
737,A,AB,8,A
738,A,A,13,A
739,BC,A,10,A
740,AB,A,7,AB
741,AB,A,15,B
742,A,A,8,A
743,A,AB,10,AB
744,A,A,10,A
745,AB,A,13,A
746,BC,A,7,B
747,AB,A,11,B
748,BC,A,2,BC
749,AB,AB,8,A
750,AB,AB,11,B
751,D,D,7,D
752,C,D,4,BC
753,D,D,4,D
754,D,D,6,BC
755,C,D,7,BC
756,D,D,3,C
757,E,D,4,C
758,E,D,2,D
759,E,C,8,B
760,C,E,5,BC
761,D,C,5,D
762,D,E,2,D
763,E,C,8,B
764,D,C,5,D
765,E,D,4,C
766,C,D,3,D
767,D,D,3,BC
768,D,E,2,C
769,C,D,4,BC
770,C,D,7,D
771,C,C,6,B
772,C,D,6,C
773,E,D,4,D
774,D,E,2,D
775,D,D,3,D
776,D,D,5,C
777,C,E,4,C
778,C,D,6,BC
779,D,C,7,D
780,D,E,3,D
781,D,D,3,D
782,D,D,4,C
783,D,E,2,E
784,C,E,6,B
785,C,E,4,B
786,D,D,4,BC
787,C,D,4,D
788,D,E,5,D
789,D,D,5,C
790,D,E,5,C
791,E,C,4,C
792,D,C,4,D
793,E,C,5,BC
794,C,C,9,B
795,D,D,5,D
796,D,C,7,D
797,D,D,4,BC
798,D,D,6,C
799,E,D,2,E
800,C,D,7,C
801,C,D,3,D
802,D,E,5,E
803,D,C,6,C
804,D,C,3,D
805,D,D,5,C
806,D,D,4,D
807,D,D,6,BC
808,E,C,7,B
809,C,E,7,C
810,C,D,4,C
811,D,D,6,D
812,C,D,3,D
813,D,D,6,C
814,C,D,3,D
815,D,D,4,C
816,D,E,5,C
817,D,C,3,D
818,C,E,7,C
819,C,E,9,B
820,D,E,4,C
821,E,E,6,B
822,C,E,8,B
823,D,C,7,BC
824,E,D,2,E
825,D,E,3,D
826,E,E,7,B
827,D,D,4,C
828,C,D,4,D
829,D,D,3,BC
830,E,D,5,E
831,D,E,4,D
832,D,E,5,C
833,E,D,3,D
834,D,C,5,C
835,E,D,4,E
836,C,D,6,D
837,E,E,8,B
838,D,D,4,D
839,C,C,5,B
840,E,C,5,B
841,D,D,3,C
842,D,E,2,C
843,D,E,5,D
844,E,E,6,B
845,E,D,2,E
846,D,C,5,D
847,D,E,5,E
848,D,C,4,BC
849,D,E,5,C
850,D,C,3,BC
851,C,E,9,B
852,E,D,4,C
853,D,D,3,BC
854,D,C,4,C
855,D,E,5,D
856,D,C,5,C
857,D,C,3,C
858,C,C,4,B
859,C,C,8,B
860,E,E,7,BC
861,D,D,5,D
862,E,C,4,B
863,E,C,6,C
864,E,C,7,C
865,D,D,6,D
866,D,C,3,C
867,D,C,5,D
868,E,D,2,E
869,D,C,6,D
870,D,D,5,C
871,D,D,6,C
872,E,D,3,D
873,C,D,5,C
874,E,C,8,BC
875,E,D,2,C
876,D,D,4,C
877,C,D,4,D
878,C,D,7,D
879,C,E,7,C
880,C,E,9,BC
881,C,D,6,BC
882,D,E,2,E
883,D,C,6,D
884,D,D,4,D
885,D,D,6,D
886,E,D,2,D
887,E,C,8,BC
888,D,D,4,C
889,C,D,6,D
890,C,D,4,BC
891,E,D,2,D
892,D,C,3,BC
893,D,D,7,BC
894,D,E,3,E
895,D,D,4,BC
896,E,D,4,E
897,D,D,7,C
898,E,D,3,E
899,D,D,6,C
900,D,D,6,BC
901,D,D,4,C
902,E,E,5,C
903,C,C,9,B
904,D,D,5,BC
905,D,D,5,BC
906,D,C,7,D
907,E,C,6,B
908,E,E,9,C
909,D,C,5,D
910,C,D,7,C
911,D,C,6,BC
912,C,D,4,BC
913,D,D,4,BC
914,C,C,8,BC
915,D,C,4,BC
916,D,C,5,D
917,D,C,3,C
918,C,C,7,BC
919,C,D,6,BC
920,E,C,6,BC
921,E,D,3,E
922,E,E,5,B
923,D,D,7,D
924,C,C,7,C
925,C,D,3,BC
926,E,E,7,B
927,D,D,3,D
928,E,D,5,E
929,D,E,3,C
930,D,D,5,D
931,D,C,7,C
932,D,D,6,C
933,D,D,4,D
934,C,E,8,C
935,D,D,5,BC
936,D,D,7,D
937,D,D,6,D
938,D,D,4,D
939,D,C,3,D
940,C,D,6,BC
941,D,D,5,C
942,C,D,6,BC
943,C,E,8,BC
944,D,D,3,BC
945,E,C,4,C
946,D,D,5,D
947,D,C,6,D
948,E,D,3,E
949,E,D,3,E
950,E,C,7,B
951,D,E,5,C
952,C,C,4,C
953,D,D,7,BC
954,E,D,3,D
955,D,C,7,C
956,D,C,4,D
957,D,C,4,D
958,E,E,6,BC
959,C,D,5,D
960,D,D,3,D
961,D,C,3,BC
962,E,D,5,D
963,D,C,4,D
964,E,D,2,E
965,E,E,9,C
966,D,D,6,C
967,D,C,5,D
968,D,D,3,BC
969,C,C,5,C
970,C,C,6,BC
971,E,C,5,BC
972,C,D,4,D
973,D,C,5,C
974,D,D,7,C
975,C,D,7,D
976,D,D,4,BC
977,D,E,4,E
978,C,C,8,C
979,D,E,3,D
980,D,E,2,C
981,C,D,5,BC
982,D,E,2,E
983,D,C,6,D
984,C,C,5,BC
985,E,D,2,E
986,D,D,4,BC
987,E,D,2,E
988,D,D,6,BC
989,D,C,4,BC
990,C,D,5,C
991,D,D,6,BC
992,E,E,6,C
993,C,E,6,B
994,D,E,4,D
995,D,D,4,C
996,C,D,3,D
997,D,E,5,E
998,D,C,7,D
999,E,C,7,BC
1000,D,E,3,D
