id,mat100,mat103,mat232,mat234,kom101,kom200,jam_belajar,mat431
57,BC,BC,BC,BC,A,BC,7,BC
58,A,BC,BC,BC,B,BC,11,BC
59,BC,BC,BC,B,BC,AB,8,BC
60,BC,BC,B,B,BC,B,10,B
61,B,BC,AB,BC,BC,B,21,AB
62,BC,A,BC,B,B,BC,10,B
63,BC,A,AB,BC,B,BC,21,AB
64,B,B,A,A,B,A,19,A
65,BC,A,BC,B,B,A,18,AB
66,B,BC,BC,BC,B,BC,18,B
67,B,BC,BC,BC,B,B,23,B
68,A,BC,BC,BC,A,A,20,AB
69,AB,B,A,B,B,BC,18,A
70,BC,BC,A,B,BC,BC,7,B
71,BC,B,BC,B,A,BC,15,B
72,AB,AB,BC,BC,BC,BC,23,B
73,BC,BC,BC,AB,BC,BC,19,B
74,BC,B,B,BC,BC,BC,18,B
75,B,AB,BC,A,BC,BC,18,B
76,BC,B,B,BC,B,BC,14,B
77,BC,BC,B,BC,AB,BC,7,B
78,A,BC,BC,B,BC,A,17,AB
79,AB,BC,BC,A,BC,A,12,B
80,BC,BC,B,BC,BC,BC,14,B
81,BC,BC,B,A,B,B,7,B
82,BC,BC,BC,BC,BC,B,20,B
83,AB,BC,BC,B,B,A,20,AB
84,A,BC,BC,B,AB,B,15,B
85,BC,AB,BC,BC,A,A,15,AB
86,BC,BC,BC,BC,B,B,23,B
87,A,BC,BC,BC,BC,B,22,B
88,BC,BC,B,AB,AB,BC,24,AB
89,BC,BC,BC,A,B,BC,24,AB
90,B,B,BC,BC,B,B,18,B
91,A,A,B,BC,AB,BC,9,B
92,B,B,B,AB,BC,BC,23,AB
93,AB,BC,BC,B,BC,A,10,B
94,BC,B,AB,B,BC,BC,9,B
95,BC,BC,BC,B,A,B,22,AB
96,BC,BC,BC,B,BC,AB,21,B
97,BC,BC,B,A,A,BC,11,AB
98,A,BC,B,AB,BC,A,10,AB
99,A,BC,BC,BC,B,BC,18,B
100,BC,BC,AB,A,BC,AB,23,A
101,AB,BC,A,AB,B,B,18,A
102,AB,B,BC,B,B,BC,12,B
103,AB,B,AB,B,BC,B,13,AB
104,B,BC,BC,BC,BC,B,12,BC
105,BC,B,B,B,B,BC,16,B
106,B,BC,B,BC,B,BC,10,B
107,B,BC,BC,BC,BC,A,23,AB
108,B,B,BC,BC,BC,A,12,B
109,BC,BC,AB,BC,A,BC,9,B
110,BC,BC,B,AB,A,AB,8,AB
111,BC,BC,A,AB,A,B,18,A
112,BC,B,B,BC,AB,BC,22,AB
113,BC,BC,BC,BC,BC,A,8,BC
114,B,B,BC,BC,BC,AB,16,B
115,BC,B,BC,B,B,B,23,AB
116,BC,BC,BC,A,AB,B,22,AB
117,BC,B,BC,B,BC,BC,12,BC
118,B,B,B,BC,BC,BC,7,BC
119,AB,B,A,B,A,A,8,A
120,B,BC,BC,AB,B,A,17,AB
121,B,BC,B,B,BC,A,17,AB
122,BC,B,BC,BC,A,BC,22,AB
123,B,A,AB,BC,BC,AB,17,AB
124,A,AB,B,A,A,BC,8,AB
125,B,A,BC,BC,BC,B,9,BC
126,B,BC,BC,B,BC,BC,24,B
127,AB,BC,BC,A,BC,B,22,AB
128,AB,B,B,A,A,BC,11,AB
129,B,BC,B,BC,AB,BC,7,B
130,A,AB,BC,B,BC,BC,23,AB
131,BC,AB,AB,BC,B,BC,13,B
132,BC,BC,A,BC,B,BC,19,AB
133,A,A,BC,BC,B,B,16,B
134,BC,BC,BC,BC,BC,BC,10,BC
135,BC,A,BC,B,A,BC,13,B
136,B,BC,B,A,BC,BC,18,AB
137,A,B,B,B,BC,BC,20,AB
138,B,B,A,BC,A,B,18,A
139,BC,B,B,A,B,BC,15,AB
140,AB,B,B,BC,BC,BC,22,AB
141,A,BC,B,AB,AB,BC,13,AB
142,BC,B,BC,B,B,A,21,AB
143,A,BC,BC,B,B,BC,16,B
144,BC,BC,BC,B,AB,A,21,AB
145,AB,B,BC,BC,BC,A,21,AB
146,B,BC,BC,BC,AB,B,18,B
147,BC,BC,B,BC,BC,BC,14,B
148,AB,A,B,BC,B,B,7,B
149,A,BC,B,BC,B,BC,7,B
150,AB,AB,BC,BC,AB,BC,16,B
151,BC,BC,A,A,AB,BC,16,A
152,BC,B,BC,B,BC,B,7,BC
153,BC,B,A,B,BC,BC,11,AB
154,BC,BC,BC,BC,B,BC,11,BC
155,AB,BC,BC,BC,B,BC,18,B
156,BC,BC,B,BC,B,B,15,B
157,BC,B,BC,BC,A,BC,11,B
158,BC,B,AB,A,B,AB,19,A
159,BC,B,BC,BC,BC,BC,22,B
160,BC,AB,BC,B,BC,BC,19,B
161,A,AB,BC,B,BC,BC,10,B
162,BC,A,BC,BC,B,BC,22,B
163,BC,BC,BC,AB,A,BC,7,B
164,BC,BC,B,B,AB,BC,16,B
165,BC,B,BC,BC,BC,B,22,B
166,AB,BC,AB,BC,B,BC,14,AB
167,BC,B,B,BC,BC,B,9,B
168,B,BC,BC,AB,B,BC,21,AB
169,AB,BC,A,BC,BC,AB,11,AB
170,BC,B,BC,B,BC,BC,24,B
171,B,BC,AB,BC,BC,B,23,AB
172,BC,B,BC,B,BC,AB,9,B
173,BC,BC,BC,AB,BC,BC,14,B
174,BC,BC,BC,BC,BC,BC,22,B
175,BC,B,BC,AB,BC,BC,23,B
176,BC,BC,BC,B,A,B,18,AB
177,BC,B,BC,BC,B,A,12,B
178,BC,B,BC,A,BC,A,9,B
179,A,B,BC,BC,BC,BC,8,BC
180,BC,BC,A,A,BC,A,16,A
181,B,BC,BC,BC,BC,A,7,BC
182,BC,A,B,B,B,B,11,B
183,B,AB,B,B,A,AB,9,AB
184,BC,BC,BC,BC,BC,BC,14,BC
185,BC,B,BC,A,BC,BC,20,B
186,BC,B,B,B,AB,BC,16,AB
187,BC,BC,B,AB,BC,B,19,AB
188,B,AB,BC,BC,A,B,12,B
189,B,B,BC,B,BC,A,12,B
190,B,BC,BC,AB,BC,B,13,B
191,BC,BC,AB,BC,BC,B,24,AB
192,BC,B,BC,BC,BC,B,13,BC
193,B,BC,B,BC,B,BC,13,B
194,BC,BC,B,BC,B,B,16,B
195,B,BC,AB,BC,BC,B,8,B
196,BC,BC,AB,AB,BC,BC,7,B
197,A,BC,AB,B,BC,B,14,AB
198,BC,B,B,B,BC,BC,21,AB
199,AB,B,BC,B,B,A,17,AB
200,B,BC,BC,B,B,BC,20,B
201,BC,BC,AB,B,BC,BC,8,B
202,B,BC,BC,BC,BC,BC,8,BC
203,BC,BC,BC,BC,BC,AB,8,BC
204,BC,B,B,BC,A,BC,13,B
205,B,BC,B,BC,BC,BC,13,B
206,BC,BC,BC,B,BC,B,9,BC
207,BC,B,AB,B,BC,BC,14,B
208,BC,BC,BC,A,B,B,9,B
209,BC,BC,B,B,A,AB,13,AB
210,B,BC,B,AB,AB,BC,8,B
211,BC,BC,BC,BC,BC,BC,7,BC
212,AB,BC,AB,AB,BC,AB,17,AB
213,B,BC,BC,BC,BC,B,15,B
214,BC,BC,AB,BC,BC,BC,9,B
215,AB,B,BC,B,BC,BC,15,B
216,AB,B,BC,BC,BC,BC,24,B
217,AB,BC,AB,BC,AB,B,18,AB
218,AB,BC,B,B,BC,BC,12,B
219,BC,B,B,BC,BC,BC,15,B
220,BC,AB,BC,AB,B,AB,9,B
221,BC,A,BC,BC,B,BC,23,B
222,B,AB,B,B,B,AB,9,B
223,BC,B,BC,BC,BC,B,11,BC
224,BC,BC,BC,B,AB,BC,14,B
225,BC,BC,B,BC,BC,B,10,B
226,BC,BC,A,A,A,BC,23,A
227,A,B,B,AB,BC,A,16,AB
228,B,BC,A,BC,A,B,15,A
229,B,B,B,AB,BC,B,7,B
230,AB,A,AB,B,B,BC,7,B
231,BC,BC,BC,A,B,BC,15,B
232,BC,BC,B,B,B,AB,21,AB
233,B,B,BC,BC,A,AB,12,B
234,AB,AB,AB,B,BC,B,23,A
235,BC,BC,BC,BC,BC,AB,15,B
236,A,B,BC,B,BC,B,10,B
237,BC,A,BC,A,A,BC,23,A
238,BC,AB,B,AB,B,B,11,B
239,A,BC,BC,B,B,BC,17,B
240,BC,AB,B,BC,A,B,11,B
241,BC,B,B,BC,A,BC,15,B
242,B,BC,A,B,B,BC,13,AB
243,BC,B,BC,A,B,BC,12,B
244,BC,A,B,BC,B,B,13,B
245,A,BC,BC,BC,A,BC,22,AB
246,BC,BC,BC,A,BC,BC,12,B
247,BC,A,B,B,AB,B,10,B
248,BC,BC,AB,BC,BC,BC,23,AB
249,A,AB,AB,B,BC,AB,24,A
250,BC,BC,B,AB,BC,B,8,B
251,BC,BC,BC,B,BC,BC,20,B
252,AB,BC,B,AB,BC,B,20,AB
253,BC,BC,A,A,AB,B,24,A
254,B,BC,BC,BC,A,BC,8,BC
255,AB,A,BC,B,B,BC,14,B
256,BC,BC,BC,BC,BC,B,8,BC
257,BC,A,BC,A,BC,BC,19,AB
258,BC,BC,B,B,A,B,18,AB
259,BC,BC,BC,B,BC,AB,24,AB
260,BC,BC,BC,BC,B,BC,8,BC
261,A,BC,B,BC,BC,BC,14,B
262,BC,BC,BC,B,B,BC,20,B
263,B,BC,BC,BC,AB,B,9,B
264,AB,BC,B,BC,BC,BC,9,BC
265,BC,B,B,B,AB,BC,18,AB
266,BC,BC,BC,AB,B,BC,10,B
267,B,B,BC,BC,BC,BC,18,B
268,B,BC,BC,A,B,A,8,B
269,BC,A,BC,BC,B,A,24,AB
270,AB,A,AB,A,B,AB,21,A
271,BC,B,B,B,B,AB,13,AB
272,BC,AB,BC,A,B,BC,9,B
273,AB,BC,BC,B,BC,BC,18,B
274,AB,B,BC,BC,AB,A,7,B
275,B,BC,BC,A,B,BC,10,B
276,AB,A,A,BC,BC,BC,12,AB
277,AB,BC,B,AB,BC,A,13,AB
278,AB,AB,B,A,A,B,10,AB
279,BC,BC,B,A,BC,A,7,B
280,BC,B,BC,BC,BC,BC,14,BC
281,BC,BC,A,BC,A,B,11,AB
282,B,A,AB,BC,AB,BC,7,B
283,B,B,A,AB,BC,BC,9,AB
284,BC,BC,BC,BC,B,A,22,AB
285,A,BC,BC,A,BC,AB,16,AB
286,AB,AB,A,BC,B,BC,8,AB
287,BC,AB,BC,BC,BC,BC,8,BC
288,B,BC,BC,AB,BC,BC,9,BC
289,A,B,AB,BC,BC,A,24,A
290,B,B,BC,B,AB,BC,19,B
291,A,BC,B,BC,BC,BC,7,BC
292,BC,A,BC,B,AB,BC,21,AB
293,B,A,BC,B,BC,BC,8,BC
294,B,BC,BC,B,AB,BC,15,B
295,AB,BC,BC,A,BC,AB,23,AB
296,B,AB,BC,B,BC,BC,17,B
297,BC,A,BC,A,B,BC,12,B
298,BC,B,BC,BC,B,BC,24,B
299,BC,BC,BC,A,BC,B,14,B
300,B,BC,BC,B,BC,A,13,B
301,BC,B,AB,BC,AB,BC,21,AB
302,A,BC,AB,BC,BC,BC,18,AB
303,A,AB,A,AB,B,B,14,A
304,BC,BC,A,AB,BC,BC,19,A
305,BC,BC,BC,AB,BC,BC,15,B
306,BC,B,A,AB,A,BC,12,A
307,BC,BC,BC,BC,BC,AB,10,BC
308,BC,B,AB,B,B,BC,11,B
309,BC,A,B,BC,A,AB,11,AB
310,AB,BC,BC,BC,AB,B,19,B
311,BC,A,BC,B,B,B,20,AB
312,BC,A,BC,B,AB,BC,15,B
313,B,A,BC,BC,AB,BC,10,B
314,BC,BC,BC,BC,B,B,9,BC
315,BC,B,A,B,BC,BC,21,A
316,B,BC,AB,BC,B,B,8,B
317,B,B,BC,BC,A,BC,19,B
318,A,B,BC,BC,B,BC,22,B
319,BC,AB,BC,BC,B,AB,24,AB
320,AB,B,B,BC,B,B,22,AB
321,BC,BC,B,A,BC,AB,13,AB
322,A,AB,B,BC,BC,B,10,B
323,BC,B,AB,A,BC,BC,21,A
324,B,AB,AB,BC,B,A,18,A
325,BC,B,B,BC,BC,A,21,AB
326,BC,BC,BC,B,BC,A,10,B
327,BC,B,BC,BC,BC,B,18,B
328,A,BC,B,AB,BC,BC,11,B
329,B,B,BC,BC,BC,B,15,B
330,B,BC,BC,BC,BC,B,8,BC
331,A,AB,B,B,A,BC,8,B
332,A,BC,BC,A,B,BC,13,B
333,A,BC,B,A,A,BC,16,AB
334,BC,BC,AB,B,B,B,20,AB
335,BC,A,B,B,A,BC,19,AB
336,B,B,A,B,BC,BC,9,AB
337,BC,A,BC,BC,BC,BC,15,B
338,B,BC,BC,BC,BC,BC,14,BC
339,A,AB,BC,BC,BC,BC,22,B
340,BC,AB,B,B,B,B,22,AB
341,BC,B,AB,BC,BC,BC,10,B
342,BC,AB,AB,BC,A,AB,20,A
343,A,A,BC,B,BC,BC,11,B
344,BC,B,BC,B,A,B,10,B
345,BC,B,A,BC,BC,BC,11,B
346,BC,BC,B,BC,AB,B,24,AB
347,B,BC,BC,B,A,AB,7,B
348,BC,B,B,B,B,B,12,B
349,A,BC,B,BC,BC,BC,23,AB
350,AB,BC,BC,BC,BC,BC,8,BC
351,A,A,BC,B,AB,A,16,AB
352,BC,B,B,A,BC,BC,14,B
353,AB,BC,BC,BC,BC,BC,13,BC
354,A,B,B,BC,BC,B,24,AB
355,BC,B,BC,A,AB,BC,9,B
356,BC,B,B,BC,B,BC,22,AB
357,B,AB,BC,BC,BC,BC,11,BC
358,B,BC,BC,BC,BC,B,12,BC
359,B,B,BC,AB,AB,B,21,AB
360,BC,BC,BC,BC,BC,BC,9,BC
361,B,B,A,BC,B,B,12,AB
362,BC,A,BC,B,B,AB,12,B
363,B,BC,A,A,AB,B,13,A
364,BC,BC,AB,BC,BC,BC,21,AB
365,BC,BC,A,B,B,AB,16,A
366,BC,BC,BC,BC,B,B,23,B
367,A,BC,AB,A,BC,BC,18,AB
368,B,BC,BC,B,BC,B,19,B
369,AB,BC,BC,BC,BC,B,17,B
370,B,A,AB,BC,B,BC,7,B
371,BC,A,BC,BC,BC,BC,18,B
372,BC,AB,B,BC,B,B,22,AB
373,BC,BC,B,BC,BC,BC,19,B
374,BC,BC,A,BC,BC,BC,11,B
375,BC,BC,A,B,A,BC,24,A
376,B,BC,BC,BC,BC,BC,8,BC
377,BC,B,A,BC,BC,BC,11,B
378,A,B,BC,B,BC,A,21,AB
379,BC,BC,BC,BC,BC,BC,12,BC
380,B,BC,BC,B,BC,BC,8,BC
381,BC,AB,BC,B,BC,AB,23,AB
382,B,A,BC,BC,BC,B,16,B
383,A,BC,BC,B,B,BC,13,B
384,BC,B,AB,BC,BC,BC,21,AB
385,B,B,B,B,A,A,15,AB
386,BC,BC,B,B,AB,B,12,B
387,AB,BC,BC,BC,BC,A,20,B
388,A,A,B,BC,B,BC,13,B
389,BC,AB,A,B,BC,BC,14,AB
390,B,BC,B,BC,AB,B,19,AB
391,BC,BC,BC,BC,BC,BC,23,B
392,BC,AB,B,BC,B,B,24,AB
393,BC,B,BC,B,A,BC,13,B
394,BC,BC,AB,AB,BC,B,21,AB
395,A,A,A,BC,A,A,15,A
396,BC,AB,BC,BC,AB,BC,14,B
397,B,A,B,B,BC,BC,19,AB
398,BC,BC,BC,BC,AB,A,22,AB
399,A,A,BC,BC,BC,BC,23,B
400,BC,AB,A,B,B,BC,10,AB
401,B,BC,BC,AB,BC,A,20,AB
402,B,AB,A,BC,B,BC,7,B
403,A,A,BC,B,B,B,20,AB
404,B,BC,BC,BC,B,BC,23,B
405,BC,BC,B,BC,B,B,14,B
406,AB,BC,BC,BC,BC,BC,14,BC
407,AB,B,BC,B,BC,BC,15,B
408,BC,BC,A,B,AB,B,22,A
409,B,BC,BC,BC,B,A,10,B
410,B,BC,BC,BC,BC,AB,9,BC
411,BC,B,A,BC,AB,B,9,AB
412,BC,B,BC,AB,B,A,10,B
413,BC,A,BC,BC,B,A,15,B
414,B,B,AB,BC,BC,B,13,B
415,AB,BC,B,B,BC,BC,20,AB
416,B,BC,B,B,AB,A,17,AB
417,B,B,A,BC,B,BC,21,A
418,BC,AB,AB,BC,BC,B,19,AB
419,B,BC,BC,B,A,BC,18,B
420,AB,B,BC,B,AB,B,23,AB
421,A,B,AB,BC,BC,B,10,B
422,BC,BC,B,B,B,BC,21,AB
423,BC,B,BC,BC,B,BC,20,B
424,BC,B,A,AB,B,B,24,A
425,BC,BC,BC,A,AB,AB,12,AB
426,BC,BC,B,A,BC,B,13,AB
427,AB,B,AB,B,B,B,12,AB
428,BC,A,AB,BC,B,BC,18,AB
429,A,B,AB,BC,BC,B,16,AB
430,BC,BC,A,BC,AB,BC,17,AB
431,AB,B,BC,A,BC,B,23,AB
432,BC,BC,AB,AB,BC,BC,22,AB
433,BC,B,BC,BC,A,BC,8,BC
434,BC,B,BC,A,BC,B,18,AB
435,B,BC,B,BC,B,BC,19,B
436,BC,BC,BC,B,AB,BC,21,B
437,BC,B,B,B,A,BC,19,AB
438,BC,BC,BC,BC,BC,A,15,B
439,B,B,BC,B,AB,BC,23,AB
440,AB,A,AB,B,BC,BC,7,B
441,AB,BC,AB,B,B,BC,12,AB
442,BC,B,BC,AB,B,BC,24,AB
443,AB,BC,B,BC,BC,BC,24,AB
444,B,B,B,BC,BC,BC,7,BC
445,AB,BC,BC,B,BC,AB,20,B
446,A,BC,BC,BC,BC,BC,23,B
447,B,A,AB,B,BC,AB,24,A
448,B,B,B,B,BC,BC,23,AB
449,BC,BC,BC,B,BC,AB,19,B
450,BC,BC,BC,B,AB,B,13,B
451,B,BC,AB,B,BC,AB,24,A
452,AB,B,BC,AB,AB,B,17,AB
453,B,B,BC,BC,B,BC,19,B
454,BC,A,BC,BC,BC,A,23,AB
455,BC,B,B,BC,AB,A,10,B
456,BC,A,BC,BC,BC,BC,14,BC
457,BC,AB,A,B,BC,BC,24,A
458,B,BC,B,AB,B,B,24,AB
459,BC,BC,BC,BC,B,BC,22,B
460,BC,B,BC,BC,AB,AB,19,B
461,B,BC,B,BC,BC,BC,23,B
462,B,AB,BC,BC,BC,A,10,B
463,BC,BC,B,BC,B,BC,24,AB
464,BC,BC,B,BC,BC,A,13,B
465,B,AB,BC,B,BC,B,12,B
466,BC,BC,BC,B,AB,B,24,AB
467,BC,B,BC,A,B,BC,7,B
468,AB,B,B,B,B,BC,20,AB
469,BC,BC,B,B,BC,AB,17,AB
470,AB,A,B,BC,B,B,14,B
471,B,BC,AB,A,B,AB,14,A
472,BC,B,A,AB,AB,B,16,A
473,B,B,BC,BC,B,BC,12,BC
474,BC,A,BC,BC,BC,AB,11,B
475,BC,AB,BC,A,AB,BC,21,AB
476,BC,BC,AB,BC,B,B,15,AB
477,BC,BC,BC,B,BC,BC,16,B
478,BC,BC,AB,BC,B,B,10,B
479,BC,BC,BC,BC,B,AB,14,B
480,BC,AB,A,BC,BC,B,14,AB
481,BC,BC,BC,B,BC,B,21,B
482,B,AB,BC,B,B,BC,19,B
483,B,BC,BC,AB,AB,B,15,B
484,BC,BC,A,B,A,BC,18,A
485,BC,BC,BC,AB,A,A,24,A
486,BC,BC,B,B,BC,BC,7,BC
487,BC,B,BC,BC,B,BC,9,BC
488,BC,BC,AB,B,BC,A,17,AB
489,B,BC,B,BC,B,BC,18,B
490,AB,BC,BC,BC,A,BC,19,B
491,BC,B,A,B,B,BC,10,AB
492,BC,BC,BC,A,B,B,8,B
493,BC,B,B,BC,B,A,9,B
494,B,BC,B,BC,B,BC,9,B
495,BC,BC,BC,AB,BC,A,7,B
496,BC,B,AB,AB,BC,A,7,AB
497,B,BC,A,AB,B,AB,22,A
498,BC,BC,A,BC,BC,BC,17,AB
499,B,B,BC,B,BC,B,11,B
500,BC,BC,BC,B,BC,BC,11,BC
501,E,E,C,E,E,C,17,C
502,D,E,D,D,C,C,4,D
503,D,C,D,C,E,E,8,D
504,D,E,D,E,C,D,12,D
505,E,D,E,C,C,E,13,D
506,C,E,C,C,C,E,14,C
507,E,D,C,C,D,D,11,C
508,C,E,E,E,C,D,6,D
509,D,E,E,D,D,C,11,D
510,E,D,D,E,C,E,5,D
511,C,E,E,E,C,E,6,D
512,D,E,E,D,C,E,17,D
513,D,E,D,E,D,C,10,D
514,D,D,D,E,C,E,7,D
515,E,C,D,C,D,E,4,D
516,E,E,E,C,C,C,11,D
517,C,C,D,C,E,C,6,D
518,E,C,E,C,D,E,15,D
519,E,C,D,D,E,E,9,D
520,D,E,C,E,C,D,3,D
521,E,C,E,E,E,C,4,E
522,E,E,E,E,D,E,7,E
523,E,D,C,C,C,E,7,C
524,E,D,D,C,D,E,6,D
525,E,C,C,E,C,E,2,D
526,C,E,D,C,D,D,10,D
527,C,E,C,E,C,D,8,D
528,C,E,E,E,D,D,15,D
529,E,C,D,D,D,E,16,D
530,C,C,E,D,C,C,6,D
531,D,D,C,D,C,E,7,D
532,E,E,D,E,E,D,16,D
533,E,C,C,C,E,E,2,D
534,D,E,C,E,C,D,7,D
535,E,D,E,D,D,C,18,D
536,E,E,C,C,E,E,2,D
537,E,C,D,E,D,E,7,D
538,E,E,D,C,E,E,13,D
539,E,E,D,C,E,E,4,D
540,D,D,E,C,C,E,9,D
541,E,D,D,E,E,D,2,E
542,C,E,E,D,C,D,13,D
543,D,E,C,E,E,C,15,C
544,E,C,D,E,D,E,15,D
545,C,C,C,C,D,D,10,C
546,C,E,C,E,E,D,2,D
547,D,E,E,E,C,E,12,D
548,E,E,E,C,E,C,6,D
549,E,E,E,D,C,E,1,E
550,E,C,D,C,D,E,12,D
551,E,E,E,C,D,E,4,E
552,D,E,E,D,D,D,12,D
553,D,C,E,E,E,E,1,E
554,E,D,E,E,D,E,14,D
555,C,C,D,E,D,D,9,D
556,E,D,C,E,E,E,15,D
557,C,D,E,E,C,E,12,D
558,C,D,E,E,C,D,8,D
559,D,C,E,C,E,E,9,D
560,D,E,E,C,E,D,2,E
561,E,C,D,E,E,E,1,E
562,E,C,D,C,D,C,13,C
563,C,E,E,E,C,C,10,D
564,E,C,E,E,D,E,12,D
565,C,E,E,E,C,C,11,D
566,E,C,C,E,C,C,5,D
567,C,E,D,D,D,C,16,C
568,D,E,E,C,C,E,1,E
569,E,C,E,E,C,C,10,D
570,E,E,E,C,E,C,16,D
571,D,C,E,E,E,E,5,E
572,D,E,E,C,E,E,17,D
573,D,C,E,E,E,E,15,D
574,C,D,E,D,E,D,17,D
575,E,E,D,C,E,D,14,D
576,E,E,C,C,E,E,2,D
577,C,C,E,E,E,E,3,E
578,C,C,D,D,E,E,7,D
579,C,E,C,E,E,E,7,D
580,E,E,D,E,D,D,5,D
581,D,E,E,D,E,C,7,D
582,E,E,C,E,E,E,13,D
583,D,D,E,D,E,D,18,D
584,C,D,C,C,D,E,6,D
585,D,D,C,E,E,E,7,D
586,D,C,D,E,E,E,14,D
587,E,E,E,D,E,E,8,E
588,E,D,E,E,D,D,3,E
589,D,C,E,E,D,E,13,D
590,E,C,E,C,D,D,5,D
591,E,D,E,E,E,C,11,D
592,D,E,E,E,E,C,15,D
593,D,D,C,C,E,E,17,C
594,C,D,E,E,E,E,10,D
595,E,E,D,E,E,E,1,E
596,D,E,D,D,E,C,17,C
597,D,D,E,C,E,C,9,D
598,E,E,D,C,C,E,17,C
599,E,E,E,E,E,C,10,D
600,E,E,C,C,D,C,9,C
601,D,E,D,C,E,C,11,D
602,D,C,C,E,E,C,2,D
603,C,D,E,E,E,E,10,D
604,D,C,E,C,D,E,18,D
605,E,D,E,E,D,D,11,D
606,C,C,E,D,E,D,10,D
607,D,D,D,C,E,C,11,D
608,E,E,C,D,C,E,12,C
609,C,E,E,E,D,E,4,E
610,C,E,C,D,E,E,1,D
611,C,D,D,D,E,E,13,D
612,D,D,C,E,E,E,8,D
613,C,D,E,E,C,E,17,D
614,C,E,C,E,E,C,5,D
615,C,C,E,C,C,D,7,D
616,D,C,C,D,D,E,13,C
617,D,C,E,D,E,E,13,D
618,C,E,E,C,C,D,10,D
619,E,E,D,E,E,C,3,D
620,E,C,E,D,E,C,16,D
621,D,E,C,E,E,E,6,D
622,D,E,C,D,E,C,4,D
623,E,E,E,C,C,D,7,D
624,E,C,D,E,E,C,15,D
625,E,E,C,E,C,E,1,D
626,E,C,E,C,C,E,7,D
627,D,E,D,E,E,E,10,D
628,C,C,E,C,E,D,7,D
629,E,D,C,C,D,C,16,C
630,E,E,C,E,D,C,15,C
631,E,E,D,C,D,D,14,C
632,E,E,D,D,E,E,1,E
633,E,E,C,D,D,C,12,C
634,E,C,E,E,C,C,11,D
635,E,C,D,E,C,E,8,D
636,E,E,C,E,D,E,6,D
637,E,D,E,D,E,D,18,D
638,E,C,E,E,D,C,15,D
639,E,E,E,E,C,E,1,E
640,E,C,D,C,C,D,2,D
641,C,D,C,D,D,C,17,C
642,C,E,C,E,E,E,11,D
643,D,E,C,D,E,E,11,D
644,C,E,E,E,E,D,3,E
645,E,D,E,E,C,E,2,E
646,D,C,C,E,E,D,3,D
647,E,E,E,D,E,E,13,D
648,D,E,C,E,C,C,18,C
649,E,E,D,E,C,E,12,D
650,D,C,C,D,D,E,13,C
651,C,E,C,D,E,D,12,C
652,E,E,E,D,D,E,7,E
653,C,C,E,E,E,D,1,E
654,C,C,E,C,C,E,8,D
655,E,E,E,E,E,D,11,D
656,E,D,E,D,E,C,9,D
657,C,E,E,D,D,D,13,D
658,E,C,D,E,E,D,16,D
