id,mat100,mat103,stk201,kom101,mat219,jam_belajar,mat232
225,D,D,A,A,A,11,C
226,A,A,A,A,A,5,D
227,D,A,BC,C,D,14,E
228,A,D,A,C,A,16,AB
229,BC,AB,A,BC,A,15,AB
230,A,A,D,A,A,5,B
231,A,A,A,A,C,13,AB
232,BC,A,A,A,BC,4,A
233,BC,A,A,BC,A,14,AB
234,A,BC,BC,C,A,10,BC
235,A,A,A,A,C,7,D
236,C,B,C,A,A,11,C
237,A,A,A,BC,BC,9,BC
238,A,A,A,A,D,12,AB
239,BC,BC,A,BC,A,11,C
240,A,A,BC,C,A,8,BC
241,C,BC,A,A,BC,6,A
242,BC,A,A,A,A,11,C
243,A,BC,A,A,C,10,B
244,C,A,A,A,C,14,C
245,E,BC,BC,A,C,6,A
246,C,A,A,A,BC,9,C
247,A,A,A,A,A,15,AB
248,A,D,C,A,A,12,E
249,A,C,BC,A,BC,9,B
250,C,A,D,A,D,9,B
251,A,A,A,BC,BC,8,BC
252,A,C,A,A,A,9,B
253,A,C,A,BC,C,7,D
254,C,A,A,BC,A,13,C
255,BC,BC,D,A,BC,9,B
256,AB,A,A,A,BC,8,D
257,A,C,BC,A,A,16,E
258,A,BC,A,C,BC,14,AB
259,BC,AB,A,BC,BC,5,A
260,A,A,BC,A,BC,10,B
261,A,BC,BC,B,A,14,E
262,A,BC,D,A,C,9,B
263,C,BC,C,A,A,4,A
264,A,E,A,AB,C,5,D
265,BC,A,D,BC,A,15,E
266,A,A,BC,A,AB,5,D
267,A,C,A,B,A,16,AB
268,BC,BC,BC,BC,A,8,BC
269,BC,A,A,BC,BC,8,A
270,D,BC,BC,D,A,5,A
271,A,BC,A,A,A,16,AB
272,A,A,A,A,A,7,D
273,D,A,A,A,BC,14,C
274,A,C,A,C,A,7,BC
275,BC,A,A,BC,BC,4,A
276,A,A,A,A,A,5,D
277,BC,AB,C,A,BC,11,B
278,A,A,A,A,A,16,AB
279,A,BC,C,A,A,12,E
280,A,A,A,A,C,14,AB
281,A,A,A,A,A,16,AB
282,A,A,A,C,A,7,BC
283,BC,A,A,A,BC,11,C
284,BC,A,C,A,A,9,B
285,BC,A,A,A,C,15,AB
286,BC,A,BC,A,D,12,C
287,AB,C,E,C,A,14,E
288,AB,BC,C,BC,A,14,E
289,A,D,BC,A,BC,8,B
290,D,C,A,A,C,12,C
291,A,A,A,BC,A,10,BC
292,C,BC,C,D,A,13,E
293,A,A,A,A,A,13,AB
294,C,A,A,BC,C,4,A
295,A,BC,D,A,BC,16,E
296,A,A,A,A,A,15,AB
297,BC,A,BC,BC,C,13,E
298,C,BC,A,BC,BC,6,A
299,A,A,BC,BC,BC,15,E
300,C,D,BC,A,A,13,C
301,A,B,BC,BC,A,10,BC
302,A,C,A,A,BC,6,D
303,BC,BC,BC,A,A,4,A
304,A,AB,A,A,C,15,AB
305,A,A,A,A,C,8,D
306,A,A,BC,A,BC,6,D
307,A,A,A,C,BC,15,AB
308,BC,BC,A,C,AB,14,AB
309,A,BC,AB,A,C,7,D
310,A,A,A,A,BC,16,AB
311,A,BC,A,A,C,7,D
312,D,E,A,BC,C,7,A
313,C,A,A,BC,A,11,C
314,D,A,BC,A,A,4,A
315,BC,A,C,A,A,6,B
316,C,BC,A,A,BC,4,A
317,A,BC,A,C,A,13,AB
318,A,A,A,BC,A,7,BC
319,C,A,BC,BC,A,11,C
320,BC,A,A,BC,A,7,A
321,E,A,A,D,A,6,A
322,C,D,BC,A,A,4,A
323,A,A,E,A,BC,11,B
324,BC,C,A,A,C,12,C
325,D,A,A,D,A,13,C
326,A,A,BC,BC,A,8,BC
327,E,BC,C,BC,BC,9,C
328,C,BC,BC,A,A,4,A
329,A,A,C,A,A,7,B
330,BC,A,BC,A,BC,9,B
331,D,BC,BC,A,A,10,C
332,A,A,BC,BC,A,9,BC
333,A,C,C,A,A,6,B
334,A,C,D,C,A,12,E
335,BC,BC,A,BC,BC,8,A
336,BC,AB,A,A,BC,11,C
337,A,A,A,A,A,15,AB
338,BC,A,A,C,A,6,A
339,AB,A,C,D,BC,6,BC
340,A,A,BC,C,C,12,E
341,BC,A,BC,BC,A,8,BC
342,BC,BC,BC,A,BC,13,E
343,A,A,BC,A,A,10,B
344,BC,A,A,BC,A,12,C
345,BC,BC,D,BC,A,14,E
346,D,A,A,BC,D,14,C
347,A,BC,A,BC,A,16,AB
348,A,A,BC,BC,BC,5,D
349,A,BC,A,A,C,11,AB
350,D,A,A,A,A,6,A
351,C,A,A,C,A,9,BC
352,A,D,A,C,A,10,BC
353,BC,C,C,C,BC,11,E
354,A,BC,A,D,A,7,BC
355,A,A,A,A,BC,12,AB
356,A,A,A,C,A,16,AB
357,BC,C,BC,BC,BC,4,A
358,A,B,BC,A,A,12,E
359,A,A,BC,A,BC,5,D
360,D,C,A,A,BC,4,A
361,A,E,BC,A,BC,4,D
362,A,A,A,A,A,9,D
363,A,BC,BC,BC,D,9,BC
364,A,A,A,C,D,13,AB
365,B,A,A,BC,C,11,C
366,A,AB,A,A,A,11,AB
367,BC,C,D,BC,C,15,E
368,E,BC,A,A,A,13,C
369,A,BC,B,D,AB,8,BC
370,A,A,BC,D,BC,5,BC
371,BC,BC,D,A,BC,5,B
372,BC,A,A,A,A,9,C
373,A,A,BC,A,A,6,D
374,A,BC,A,D,BC,14,AB
375,C,A,A,A,A,11,C
376,A,A,A,C,BC,11,BC
377,BC,C,A,A,A,13,C
378,A,A,A,C,A,13,AB
379,C,A,A,A,AB,11,C
380,A,E,D,BC,A,14,E
381,A,B,A,C,A,8,BC
382,A,A,C,A,C,6,D
383,A,A,BC,C,A,10,BC
384,BC,D,AB,D,A,8,BC
385,A,D,A,C,A,8,BC
386,AB,BC,A,B,A,6,D
387,BC,BC,C,AB,A,8,B
388,A,BC,A,D,BC,10,BC
389,A,A,BC,A,A,10,B
390,D,A,A,A,A,12,C
391,A,C,BC,E,A,15,E
392,C,BC,BC,BC,C,10,C
393,A,A,A,BC,BC,9,BC
394,A,A,BC,C,A,7,BC
395,A,A,C,BC,BC,12,E
396,C,A,BC,BC,A,13,E
397,A,C,A,BC,B,16,AB
398,E,C,AB,A,A,13,C
399,A,C,E,E,A,9,BC
400,D,A,D,A,BC,11,C
401,BC,A,A,C,A,14,AB
402,BC,A,E,A,A,11,B
403,A,BC,A,C,C,5,D
404,C,A,BC,C,A,13,E
405,D,C,BC,BC,A,14,E
406,A,BC,BC,A,A,4,D
407,A,A,A,A,BC,7,D
408,BC,BC,A,A,C,13,C
409,BC,A,BC,BC,A,16,E
410,A,A,A,A,BC,11,AB
411,A,BC,BC,A,D,12,E
412,A,BC,A,A,A,8,D
413,A,A,BC,BC,BC,16,E
414,BC,A,A,BC,A,14,AB
415,C,D,C,A,A,11,B
416,A,BC,A,A,A,5,D
417,A,BC,A,BC,BC,5,D
418,C,C,BC,A,C,8,B
419,A,BC,A,A,A,6,D
420,A,A,A,BC,A,16,AB
421,BC,A,A,A,BC,5,A
422,A,A,A,BC,E,11,AB
423,AB,A,D,A,A,14,E
424,C,A,A,A,A,9,C
425,A,A,C,A,BC,16,E
426,AB,A,A,A,A,6,D
427,C,A,C,A,BC,10,B
428,A,BC,A,A,C,4,D
429,D,A,A,C,BC,7,A
430,A,BC,BC,A,C,8,B
431,A,C,E,B,A,12,E
432,A,BC,C,C,AB,11,BC
433,A,BC,C,D,BC,16,E
434,BC,A,E,D,A,11,E
435,A,BC,A,A,D,14,AB
436,A,A,C,BC,A,14,E
437,A,A,B,A,A,13,AB
438,D,A,A,A,A,5,A
439,C,BC,A,BC,C,11,C
440,AB,A,BC,A,BC,13,E
441,A,BC,A,BC,A,13,AB
442,BC,A,D,D,AB,14,E
443,A,A,A,BC,BC,4,D
444,BC,A,C,BC,C,12,E
445,BC,A,A,D,A,8,BC
446,A,A,A,A,B,5,D
447,A,A,E,C,A,6,BC
448,A,A,A,A,A,14,AB
449,A,BC,A,BC,A,13,AB
450,BC,A,BC,A,C,5,A
451,BC,A,A,B,C,8,A
452,C,C,BC,A,A,9,B
453,BC,BC,AB,A,A,4,A
454,AB,A,A,BC,A,4,D
455,A,D,A,A,C,6,D
456,A,BC,BC,A,A,6,B
457,A,A,C,A,AB,9,B
458,A,A,A,A,C,5,D
459,A,C,BC,A,BC,8,B
460,C,AB,A,B,A,4,A
461,C,BC,C,BC,A,13,E
462,AB,A,BC,A,A,6,B
463,A,A,BC,A,BC,4,D
464,A,BC,D,BC,A,7,BC
465,A,AB,A,A,A,4,D
466,A,A,BC,A,BC,9,B
467,C,A,BC,BC,A,8,BC
468,C,AB,D,A,AB,6,B
469,BC,BC,C,A,A,15,E
470,BC,A,A,BC,A,5,A
471,E,A,AB,BC,BC,6,A
472,C,BC,BC,A,A,7,B
473,A,A,D,A,A,8,B
474,A,BC,A,A,A,7,D
475,A,BC,BC,A,A,4,D
476,A,A,D,BC,BC,5,BC
477,E,C,A,BC,D,8,A
478,C,A,A,A,D,13,C
479,D,A,AB,C,A,9,C
480,A,A,A,E,BC,5,BC
481,BC,D,A,C,A,7,BC
482,A,A,BC,A,C,16,E
483,C,A,A,A,A,16,AB
484,A,A,BC,BC,A,11,BC
485,A,A,A,C,B,13,AB
486,A,A,A,A,A,12,AB
487,B,A,BC,A,A,15,E
488,A,A,A,B,A,16,AB
489,A,A,A,A,BC,4,D
490,E,C,A,BC,BC,15,C
491,E,A,A,D,A,10,C
492,D,BC,A,A,A,13,C
493,A,A,A,A,BC,9,D
494,A,C,BC,C,BC,10,BC
495,C,BC,A,C,D,12,C
496,BC,BC,A,A,A,5,A
497,A,C,BC,A,A,4,D
498,A,BC,D,A,A,5,B
499,BC,C,A,BC,C,4,A
500,A,C,A,C,A,7,BC
501,BC,C,A,A,A,12,C
502,A,A,A,A,A,14,AB
503,A,D,C,A,A,9,B
504,A,BC,E,BC,A,8,B
505,A,B,A,BC,BC,10,BC
506,BC,AB,C,A,A,8,B
507,C,C,A,A,A,15,C
508,A,A,A,A,C,5,D
509,A,A,E,A,C,13,E
510,A,C,A,A,A,10,B
511,BC,BC,C,C,A,12,E
512,BC,C,C,A,A,6,B
513,A,C,A,C,A,8,BC
514,A,C,A,C,A,6,BC
515,A,C,AB,A,D,9,B
516,BC,A,A,A,A,8,A
517,A,A,A,A,C,5,D
518,A,C,A,A,AB,15,AB
519,A,A,A,A,A,14,AB
520,AB,A,C,A,A,16,E
521,A,BC,D,BC,A,12,E
522,BC,C,A,A,A,5,A
523,C,A,BC,BC,BC,6,A
524,A,A,C,A,A,12,E
525,BC,BC,A,A,E,12,C
526,A,BC,BC,A,A,6,B
527,A,A,A,A,C,15,AB
528,C,B,BC,A,BC,16,E
529,C,BC,A,A,A,11,C
530,A,C,A,C,A,7,BC
531,A,A,BC,A,BC,4,D
532,BC,A,BC,A,A,7,B
533,A,A,C,A,B,16,E
534,A,A,C,AB,C,9,B
535,C,D,A,A,A,10,C
536,D,D,BC,BC,A,12,C
537,A,A,BC,BC,BC,9,BC
538,A,A,BC,D,A,9,BC
539,C,C,AB,A,A,14,C
540,A,BC,A,C,AB,12,AB
541,C,C,BC,C,A,12,E
542,AB,A,BC,C,D,8,BC
543,A,BC,A,A,A,13,AB
544,BC,A,A,A,A,6,A
545,A,A,C,C,D,16,E
546,BC,A,BC,A,A,9,B
547,BC,A,A,D,A,16,AB
548,A,A,BC,C,AB,4,D
549,A,A,AB,E,A,13,AB
550,BC,A,A,A,BC,6,A
551,A,BC,E,A,A,9,B
552,A,A,D,BC,A,6,BC
553,A,BC,A,C,BC,9,BC
554,A,A,BC,A,A,15,E
555,BC,A,C,A,D,13,E
556,A,B,A,A,BC,15,AB
557,BC,BC,C,A,D,8,B
558,C,A,A,A,A,6,A
559,BC,C,C,BC,D,13,E
560,A,BC,C,A,A,12,E
561,BC,BC,C,D,A,4,A
562,A,BC,A,A,AB,4,D
563,C,BC,A,A,A,9,C
564,A,A,A,C,BC,9,BC
565,C,BC,C,BC,A,15,E
566,A,BC,D,D,BC,6,BC
567,A,BC,A,E,A,7,BC
568,A,A,A,C,A,16,AB
569,A,BC,A,A,A,16,AB
570,A,A,BC,A,A,5,D
571,AB,C,A,BC,A,9,BC
572,A,BC,A,A,D,11,AB
573,BC,BC,D,BC,A,16,E
574,C,A,A,AB,A,11,C
575,C,A,A,C,A,4,A
576,A,A,A,A,BC,4,D
577,B,BC,A,BC,A,7,BC
578,A,BC,BC,A,A,12,E
579,A,AB,BC,BC,C,5,D
580,A,A,A,BC,BC,8,BC
581,A,A,AB,BC,D,5,D
582,C,C,C,C,BC,16,E
583,C,A,A,BC,A,13,C
584,A,A,C,A,A,16,E
585,A,C,C,A,C,9,B
586,AB,A,A,C,BC,14,AB
587,C,A,A,D,A,5,A
588,A,BC,A,A,BC,15,AB
589,A,A,AB,D,AB,10,BC
590,BC,BC,BC,BC,A,9,BC
591,A,A,A,A,BC,14,AB
592,A,BC,A,BC,A,16,AB
593,BC,A,A,A,C,5,A
594,BC,BC,A,BC,A,11,C
595,A,BC,BC,C,A,14,E
596,A,BC,BC,A,A,6,B
597,C,A,A,A,A,11,C
598,A,A,BC,A,BC,5,D
599,BC,BC,AB,BC,A,6,A
600,A,A,A,A,D,12,AB
601,A,BC,A,BC,C,11,AB
602,A,BC,BC,C,C,8,BC
603,A,B,A,D,A,15,AB
604,A,A,A,A,A,9,D
605,C,A,A,A,A,16,AB
606,C,BC,BC,A,E,7,A
607,A,C,A,A,A,15,AB
608,A,BC,D,A,A,11,B
609,A,C,A,A,A,11,AB
610,D,A,BC,BC,A,10,C
611,BC,C,BC,C,BC,9,BC
612,A,A,BC,A,A,14,E
613,E,A,A,BC,A,15,C
614,A,BC,C,D,BC,10,BC
615,A,C,BC,BC,A,8,BC
616,BC,A,D,A,A,14,E
617,C,C,B,A,A,6,A
618,BC,A,D,A,BC,8,B
619,A,BC,A,A,C,5,D
620,BC,BC,BC,A,A,16,E
621,AB,BC,A,BC,A,16,AB
622,A,A,C,BC,A,15,E
623,A,BC,BC,A,A,15,E
624,D,AB,B,BC,C,5,A
625,A,BC,A,A,A,8,D
626,D,D,C,A,D,12,C
627,A,C,A,A,A,10,B
628,A,C,BC,D,A,6,BC
629,A,A,BC,A,BC,8,B
630,C,C,A,A,A,8,A
631,D,A,BC,A,A,10,C
632,A,C,D,C,A,9,BC
633,A,A,C,BC,A,13,E
634,C,A,A,BC,A,15,AB
635,A,A,BC,BC,A,13,E
636,C,BC,E,A,C,8,B
637,BC,C,A,A,A,6,A
638,BC,A,A,A,BC,9,C
639,A,A,BC,BC,A,7,BC
640,D,BC,BC,A,C,8,A
641,A,A,C,A,A,15,E
642,A,A,A,C,A,16,AB
643,BC,A,BC,A,C,6,A
644,A,A,A,A,A,9,D
645,E,AB,D,BC,A,13,E
646,BC,BC,A,A,C,10,C
647,C,A,A,BC,C,4,A
648,A,D,A,A,D,6,D
649,C,A,BC,BC,BC,8,A
650,A,A,A,A,A,11,AB
651,D,A,A,BC,A,4,A
652,A,A,AB,A,BC,6,D
653,A,A,A,BC,BC,5,D
654,C,BC,BC,D,A,15,E
655,BC,D,C,D,BC,10,BC
656,A,A,A,A,A,15,AB
657,A,A,BC,BC,BC,15,E
658,BC,C,A,C,A,16,AB
659,BC,BC,A,D,A,11,BC
660,A,A,BC,AB,A,14,E
661,A,A,C,C,A,14,E
662,BC,A,A,A,A,15,AB
663,AB,A,BC,A,BC,12,E
664,A,A,C,C,BC,8,BC
665,A,BC,A,A,C,13,AB
666,A,A,C,A,A,7,B
667,A,A,A,C,D,14,AB
668,A,A,D,C,AB,13,E
669,A,A,A,A,A,16,AB
670,A,A,BC,BC,C,8,BC
671,A,BC,C,A,A,14,E
672,A,A,A,BC,BC,9,BC
673,A,C,A,BC,C,13,AB
674,BC,A,BC,A,C,6,A
675,A,C,E,A,BC,6,B
676,AB,BC,BC,A,A,8,B
677,A,BC,A,BC,BC,9,BC
678,A,A,A,BC,E,14,AB
679,A,A,A,C,A,13,AB
680,BC,A,A,BC,BC,4,A
681,BC,A,A,A,C,13,C
682,A,C,D,BC,B,11,E
683,BC,BC,D,E,A,5,BC
684,A,A,BC,E,A,13,E
685,A,A,A,A,A,16,AB
686,C,A,A,A,A,11,C
687,A,BC,BC,BC,AB,14,E
688,C,AB,A,A,C,12,C
689,C,A,C,C,A,13,E
690,C,A,B,C,AB,4,A
691,BC,BC,C,C,A,7,BC
692,A,C,BC,A,A,11,B
693,A,A,BC,D,BC,10,BC
694,A,BC,A,A,A,8,D
695,C,A,BC,A,A,6,A
696,C,BC,AB,BC,C,10,C
697,A,A,C,B,A,11,E
698,BC,BC,BC,BC,A,9,BC
699,A,BC,A,BC,C,4,D
700,BC,A,A,B,A,9,C
701,A,BC,BC,A,A,10,B
702,BC,A,BC,A,BC,8,B
703,C,AB,C,AB,A,4,A
704,A,BC,BC,BC,AB,13,E
705,A,A,BC,B,A,7,BC
706,A,BC,A,C,BC,13,AB
707,BC,A,AB,A,C,4,A
708,C,BC,BC,A,A,9,B
709,BC,A,D,A,D,4,A
710,D,B,BC,A,BC,8,A
711,A,BC,BC,A,C,9,B
712,C,D,BC,A,A,13,C
713,E,A,BC,D,A,4,A
714,D,C,A,A,BC,12,C
715,A,C,C,A,C,13,E
716,A,A,A,A,A,9,D
717,AB,C,BC,A,A,5,B
718,BC,A,D,A,BC,16,E
719,C,A,D,BC,BC,13,E
720,A,C,A,A,A,4,D
721,A,C,C,C,A,14,E
722,C,C,A,A,BC,9,C
723,BC,BC,A,A,A,10,C
724,A,BC,BC,BC,A,7,BC
725,A,BC,A,BC,A,12,AB
726,BC,BC,D,BC,A,13,E
727,A,C,A,A,B,12,AB
728,A,A,A,A,D,8,D
729,BC,C,A,D,D,16,AB
730,BC,A,A,A,A,4,A
731,A,A,A,A,A,12,AB
732,A,A,A,A,A,6,D
733,BC,A,A,BC,A,14,AB
734,A,BC,A,A,C,16,AB
735,A,A,BC,C,A,7,BC
736,A,BC,A,A,A,4,D
737,C,BC,A,A,C,14,C
738,A,BC,A,A,BC,4,D
739,A,D,C,BC,A,9,BC
740,A,D,A,C,A,14,AB
741,BC,A,A,C,A,6,A
742,C,A,A,A,BC,16,AB
743,A,BC,BC,BC,A,16,E
744,D,D,BC,BC,C,15,E
745,BC,C,BC,A,A,7,B
746,A,A,A,A,C,16,AB
747,B,BC,A,A,BC,10,C
748,BC,A,C,A,A,6,B
749,A,C,A,C,BC,14,AB
750,BC,A,A,A,A,12,C
751,A,BC,A,E,C,14,AB
752,C,A,BC,A,A,8,B
753,A,BC,B,A,A,16,AB
754,A,A,A,A,A,12,AB
755,BC,C,C,C,BC,9,BC
756,A,D,BC,BC,AB,13,E
757,A,D,A,A,A,6,D
758,BC,BC,A,A,B,4,A
759,C,A,C,A,BC,12,C
760,BC,BC,AB,A,A,16,AB
761,A,A,BC,A,A,4,D
762,AB,A,A,A,A,12,AB
763,A,A,A,A,B,13,AB
764,B,A,A,BC,A,9,BC
765,D,C,A,A,A,10,C
766,A,A,A,A,D,4,D
767,BC,A,A,C,A,8,BC
768,A,BC,A,D,A,15,AB
769,D,BC,BC,A,BC,7,A
770,BC,A,A,A,A,10,C
771,A,A,B,A,D,5,D
772,A,E,A,A,A,7,D
773,A,C,BC,BC,C,8,BC
774,A,AB,A,C,A,7,BC
775,A,A,A,A,BC,16,AB
776,D,BC,A,A,A,12,C
777,A,A,A,A,A,7,D
778,A,E,A,BC,BC,15,AB
779,B,AB,A,A,A,14,AB
780,A,A,A,B,A,7,D
781,BC,BC,D,C,A,14,E
782,D,A,A,B,A,10,C
783,A,A,AB,BC,BC,13,AB
784,A,BC,BC,A,A,11,B
785,E,C,BC,A,C,8,A
786,BC,BC,A,A,A,7,A
787,A,A,A,A,A,12,AB
788,A,A,BC,BC,D,13,E
789,A,A,BC,A,C,13,E
