id,stk211,kom205,jam_belajar,kom341
142,C,AB,7,A
143,BC,E,9,E
144,D,BC,4,AB
145,AB,BC,7,BC
146,D,D,8,E
147,E,E,5,D
148,C,E,7,D
149,D,E,6,C
150,D,D,10,B
151,C,BC,7,B
152,B,AB,7,AB
153,B,AB,9,A
154,B,A,7,AB
155,D,BC,4,C
156,C,C,2,D
157,E,D,3,C
158,BC,BC,7,A
159,AB,A,2,AB
160,BC,C,1,BC
161,AB,A,8,B
162,A,B,7,A
163,BC,E,0,BC
164,AB,AB,9,AB
165,A,B,7,AB
166,E,D,3,D
167,BC,B,1,AB
168,E,D,5,C
169,BC,AB,5,B
170,C,D,0,C
171,AB,A,8,AB
172,A,B,10,AB
173,C,D,8,D
174,C,C,2,D
175,E,E,2,C
176,AB,AB,4,A
177,BC,AB,7,A
178,C,D,8,E
179,C,BC,3,BC
180,C,C,1,C
181,C,BC,6,B
182,D,BC,3,D
183,C,B,3,B
184,BC,BC,4,B
185,B,A,7,A
186,BC,C,6,BC
187,BC,D,3,D
188,D,D,5,BC
189,B,B,10,B
190,D,D,1,BC
191,E,D,2,D
192,E,BC,2,E
193,BC,D,4,D
194,E,D,2,C
195,C,D,2,BC
196,D,D,5,C
197,B,B,7,A
198,B,C,7,BC
199,B,B,6,AB
200,D,BC,4,A
201,BC,AB,2,A
202,BC,A,9,B
203,D,D,2,C
204,B,A,8,A
205,E,BC,0,C
206,AB,AB,9,AB
207,E,E,2,BC
208,BC,C,6,E
209,D,D,4,BC
210,D,E,5,E
211,AB,BC,7,C
212,E,C,2,D
213,C,C,4,C
214,AB,BC,6,B
215,BC,E,10,D
216,C,BC,0,C
217,D,E,6,E
218,C,C,7,D
219,BC,C,4,D
220,D,C,5,BC
221,BC,B,9,B
222,C,BC,5,A
223,BC,E,5,E
224,BC,BC,3,E
225,A,A,9,AB
226,D,D,3,D
227,AB,AB,7,AB
228,A,A,8,AB
229,D,C,5,C
230,BC,C,3,C
231,A,AB,7,AB
232,AB,AB,9,B
233,C,D,5,D
234,C,D,5,C
235,C,D,1,C
236,C,C,4,C
237,BC,E,6,C
238,B,B,1,AB
239,C,D,4,D
240,C,BC,8,BC
241,D,C,1,C
242,B,B,8,AB
243,B,B,8,AB
244,AB,A,9,AB
245,C,BC,6,C
246,A,AB,8,AB
247,A,B,7,B
248,BC,BC,6,B
249,A,C,9,AB
250,C,BC,0,BC
251,C,AB,1,AB
252,D,D,6,E
253,B,C,8,AB
254,E,D,1,C
255,C,D,5,E
256,BC,B,9,B
257,BC,C,8,E
258,BC,B,10,AB
259,BC,C,6,C
260,BC,E,8,E
261,A,A,7,AB
262,C,AB,6,A
263,A,B,6,AB
264,D,E,5,BC
265,C,BC,9,BC
266,D,D,4,E
267,AB,A,10,B
268,C,D,1,D
269,E,C,0,B
270,BC,B,8,AB
271,AB,B,7,B
272,C,D,2,BC
273,BC,BC,3,D
274,E,C,4,B
275,BC,BC,2,B
276,C,E,8,E
277,BC,AB,4,A
278,BC,BC,2,B
279,BC,B,8,A
280,BC,BC,0,BC
281,E,D,3,D
282,E,E,8,D
283,C,C,1,E
284,D,C,6,C
285,D,BC,4,B
286,AB,A,10,AB
287,E,E,2,D
288,E,BC,6,C
289,D,E,4,E
290,C,C,2,BC
291,AB,AB,10,AB
292,B,AB,6,B
293,C,D,6,C
294,A,C,2,E
295,C,B,3,C
296,E,E,2,E
297,A,A,7,AB
298,AB,C,9,AB
299,B,C,2,BC
300,C,C,5,D
301,D,D,1,BC
302,D,D,0,D
303,AB,BC,2,C
304,D,D,6,C
305,D,C,2,BC
306,AB,C,9,B
307,D,E,1,BC
308,B,B,8,B
309,BC,D,7,BC
310,B,BC,6,D
311,E,BC,3,C
312,AB,A,7,AB
313,C,D,10,C
314,C,BC,2,BC
315,AB,BC,8,BC
316,BC,BC,5,BC
317,E,E,4,BC
318,E,C,7,BC
319,D,E,10,BC
320,BC,AB,2,A
321,C,BC,3,C
322,BC,BC,6,B
323,BC,AB,5,AB
324,BC,BC,0,B
325,BC,BC,3,BC
326,AB,A,9,AB
327,D,D,7,C
328,B,AB,8,AB
329,D,D,2,C
330,BC,C,2,BC
331,B,A,3,A
332,AB,A,7,B
333,C,D,3,BC
334,C,C,6,B
335,E,C,1,BC
336,C,BC,4,A
337,A,B,9,B
338,D,D,3,C
339,E,BC,1,C
340,C,BC,7,B
341,D,D,1,C
342,AB,AB,9,B
343,BC,BC,9,BC
344,B,AB,1,A
345,B,B,8,AB
346,E,E,1,C
347,A,A,5,AB
348,D,C,1,BC
349,C,B,0,B
350,A,B,10,AB
351,BC,C,4,C
352,E,E,3,BC
353,C,D,5,D
354,E,E,1,E
355,AB,BC,8,AB
356,A,A,7,AB
357,D,E,2,E
358,AB,A,6,A
359,BC,A,3,AB
360,E,BC,5,C
361,A,AB,8,AB
362,C,C,6,D
363,D,C,9,B
364,BC,C,0,B
365,BC,C,4,D
366,AB,A,7,A
367,BC,BC,6,BC
368,C,B,10,B
369,BC,BC,6,B
370,C,C,9,AB
371,C,BC,7,D
372,BC,B,2,B
373,B,B,2,B
374,C,E,2,E
375,A,AB,4,A
376,C,BC,9,BC
377,B,BC,7,B
378,BC,BC,3,AB
379,C,C,8,BC
380,B,B,3,B
381,C,D,3,BC
382,D,BC,6,E
383,BC,E,1,E
384,AB,B,8,AB
385,C,C,1,C
386,D,D,3,D
387,E,C,4,B
388,A,AB,9,A
389,B,C,10,B
390,E,E,6,C
391,D,C,1,BC
392,A,B,9,AB
393,C,C,6,C
394,A,A,9,AB
395,A,A,7,AB
396,E,D,2,E
397,D,D,0,C
398,C,D,3,D
399,BC,BC,1,BC
400,AB,A,8,A
401,C,C,7,C
402,BC,D,7,BC
403,E,D,1,D
404,BC,E,1,E
405,AB,AB,3,A
406,B,B,8,AB
407,C,D,5,BC
408,B,AB,10,A
409,C,C,9,B
410,BC,B,10,AB
411,AB,BC,9,B
412,D,E,2,E
413,BC,B,3,AB
414,A,B,9,AB
415,AB,AB,3,AB
416,C,BC,3,B
417,BC,AB,0,AB
418,C,D,0,D
419,AB,AB,8,A
420,A,A,8,A
421,AB,AB,6,AB
422,BC,BC,9,B
423,AB,AB,10,AB
424,D,D,3,D
425,D,C,5,D
426,C,C,1,BC
427,B,AB,7,AB
428,D,D,1,D
429,D,C,3,BC
430,E,E,2,BC
431,D,C,6,AB
432,A,B,8,B
433,AB,AB,6,A
434,C,C,2,BC
435,E,C,0,D
436,B,A,6,B
437,BC,BC,1,C
438,B,B,7,AB
439,D,D,4,E
440,BC,BC,5,BC
441,E,BC,5,E
442,E,BC,4,BC
443,E,E,10,E
444,E,BC,3,B
445,B,C,0,D
446,A,AB,9,A
447,C,D,5,E
448,AB,AB,10,A
449,D,D,3,D
450,C,BC,10,BC
451,C,BC,9,AB
452,E,E,0,E
453,C,C,8,B
454,B,A,7,AB
455,AB,C,7,C
456,BC,BC,2,B
457,B,A,8,A
458,BC,B,6,AB
459,BC,BC,3,C
460,D,D,0,BC
461,A,AB,7,A
462,A,A,8,A
463,BC,D,2,C
464,AB,B,9,B
465,C,C,4,BC
466,C,C,5,BC
467,BC,BC,0,B
468,C,C,8,B
469,BC,BC,6,BC
470,C,C,2,C
471,BC,C,2,C
472,C,AB,5,AB
473,BC,A,1,AB
474,D,C,4,BC
475,C,C,1,C
476,AB,AB,8,A
477,E,E,1,D
478,BC,B,7,B
479,C,C,3,D
480,BC,D,6,D
481,BC,B,6,B
482,E,BC,6,B
483,D,D,1,E
484,C,D,4,D
485,BC,A,3,A
486,BC,E,6,D
487,C,AB,5,A
488,BC,BC,7,BC
489,D,BC,4,C
490,A,AB,9,A
491,BC,BC,9,BC
492,C,C,1,D
493,A,B,9,B
494,B,AB,9,AB
495,C,BC,7,AB
496,E,E,5,D
497,A,B,10,AB
498,C,D,4,D
499,AB,AB,7,B
500,C,D,2,C
501,B,AB,5,A
502,C,B,2,B
503,C,C,3,BC
504,A,A,6,AB
505,AB,A,1,B
506,BC,BC,9,BC
507,E,E,6,E
508,C,B,5,AB
509,B,B,9,B
510,A,B,8,B
511,C,BC,2,C
512,C,BC,1,C
513,D,BC,4,B
514,C,C,8,B
515,A,C,8,BC
516,C,B,2,A
517,C,BC,0,A
518,B,B,6,AB
519,A,AB,7,A
520,BC,BC,4,C
521,A,A,4,B
522,AB,AB,7,A
523,BC,BC,6,C
524,B,C,7,C
525,B,BC,7,B
526,BC,BC,1,D
527,C,BC,5,C
528,D,C,3,BC
529,B,AB,8,A
530,C,AB,2,A
531,A,A,10,AB
532,B,BC,7,BC
533,D,C,3,B
534,D,C,5,BC
535,BC,E,4,E
536,BC,D,2,D
537,D,D,1,C
538,E,E,7,C
539,BC,BC,0,AB
540,BC,BC,5,A
541,B,AB,10,B
542,E,BC,6,B
543,A,AB,0,A
544,E,D,5,D
545,BC,BC,3,B
546,C,D,3,D
547,BC,B,4,B
548,BC,C,1,E
549,C,E,2,C
550,BC,C,0,C
551,D,C,2,BC
552,BC,E,10,E
553,A,B,9,AB
554,C,D,2,D
555,AB,A,8,A
556,E,E,4,E
557,E,E,4,BC
558,BC,E,5,E
559,BC,E,10,D
560,B,A,2,A
561,C,BC,2,C
562,A,A,9,A
563,BC,C,4,B
564,D,D,1,BC
565,D,E,3,BC
566,B,BC,8,B
567,BC,B,4,B
568,E,E,3,D
569,C,BC,3,E
570,C,D,7,D
571,D,C,1,D
572,D,E,4,C
573,E,C,1,C
574,AB,A,8,AB
575,E,C,5,B
576,BC,C,4,BC
577,BC,C,4,D
578,BC,E,6,D
579,BC,BC,6,BC
580,E,D,0,C
581,D,D,4,BC
582,D,C,3,C
583,C,AB,5,AB
584,C,D,8,D
585,BC,B,5,B
586,A,A,8,AB
587,E,C,4,C
588,BC,AB,4,AB
589,C,C,2,C
590,A,A,7,AB
591,BC,C,9,AB
592,BC,BC,4,C
593,C,D,4,E
594,C,B,1,BC
595,D,BC,1,A
596,B,B,9,B
597,D,C,4,C
598,D,BC,2,A
599,B,B,5,BC
600,C,C,2,AB
601,E,BC,4,BC
602,BC,BC,4,C
603,C,C,2,C
604,BC,C,3,D
605,A,AB,8,A
606,B,BC,6,A
607,B,AB,9,A
608,E,E,2,D
609,E,C,2,BC
610,BC,BC,2,D
611,C,D,3,C
612,D,C,3,C
613,BC,B,1,AB
614,BC,BC,4,B
615,BC,BC,1,B
616,B,B,2,C
617,BC,C,7,C
618,D,C,2,BC
619,AB,AB,8,B
620,B,AB,0,AB
621,E,BC,1,C
622,BC,E,3,E
623,C,D,7,E
624,BC,C,7,C
625,B,B,8,AB
626,A,A,7,A
627,E,BC,1,BC
628,AB,A,8,AB
629,BC,B,0,C
630,BC,E,3,C
631,BC,B,1,B
632,C,C,0,B
633,C,D,1,D
634,D,D,2,D
635,BC,BC,6,B
636,D,D,4,D
637,C,D,6,E
638,D,D,1,BC
639,B,B,7,AB
640,E,C,2,BC
641,C,BC,0,C
642,B,B,10,B
643,BC,BC,9,AB
644,BC,C,10,BC
645,C,BC,9,AB
646,BC,B,3,AB
647,E,D,3,C
648,B,C,3,B
649,C,C,6,C
650,E,D,10,B
651,D,E,6,E
652,B,B,7,AB
653,B,B,5,B
654,BC,BC,1,A
655,E,BC,3,C
656,AB,AB,6,A
657,D,D,9,B
658,BC,E,2,D
659,BC,A,9,A
660,BC,C,5,D
661,D,E,0,D
662,E,C,3,AB
663,BC,B,0,B
664,AB,AB,9,A
665,B,C,4,C
666,C,C,3,D
667,E,D,1,D
668,E,E,4,C
669,BC,D,4,D
670,BC,BC,0,AB
671,B,AB,2,A
672,BC,B,7,B
673,C,BC,2,BC
674,BC,AB,4,C
675,C,D,1,C
676,BC,B,7,B
677,A,A,8,AB
678,AB,AB,6,AB
679,AB,B,9,B
680,B,A,2,B
681,C,C,6,C
682,C,C,7,BC
683,BC,C,1,B
684,C,D,5,C
685,D,D,3,E
686,A,BC,8,BC
687,BC,B,3,C
688,C,C,6,C
689,C,B,4,C
690,E,E,1,E
691,B,B,8,B
692,BC,B,9,AB
693,BC,BC,2,C
694,AB,A,6,A
695,E,C,3,D
696,E,C,3,C
697,BC,BC,0,BC
698,B,BC,4,D
699,BC,B,1,AB
700,A,A,6,B
701,A,A,9,AB
702,B,BC,7,AB
703,AB,AB,7,AB
704,E,D,0,E
705,C,BC,9,B
706,D,E,3,E
707,E,E,2,D
708,BC,A,3,AB
709,BC,BC,4,B
710,D,C,1,BC
711,A,AB,9,A
712,D,D,2,C
713,C,C,6,BC
714,D,E,0,D
715,D,D,3,D
716,A,B,9,B
717,A,A,7,A
718,BC,B,7,AB
719,D,C,3,BC
720,A,BC,9,B
721,D,D,5,D
722,BC,D,8,D
723,D,C,0,C
724,A,A,9,AB
725,C,B,0,AB
726,D,D,5,E
727,B,AB,6,B
728,D,BC,0,B
729,BC,C,3,C
730,C,BC,10,AB
731,BC,B,4,AB
732,D,D,2,D
733,D,D,3,C
734,BC,D,0,E
735,B,B,7,AB
736,BC,BC,1,B
737,BC,D,2,D
738,BC,D,9,BC
739,D,D,2,E
740,BC,C,2,C
741,BC,BC,6,BC
742,D,C,3,BC
743,E,D,1,C
744,BC,C,8,D
745,E,E,4,D
746,C,E,3,BC
747,E,E,0,BC
748,B,B,9,A
749,D,D,0,E
750,BC,C,4,C
751,AB,A,9,A
752,B,AB,5,A
753,BC,D,9,BC
754,BC,A,4,AB
755,BC,C,4,E
756,AB,A,7,AB
757,A,B,9,AB
758,E,E,4,D
759,A,BC,9,AB
760,AB,A,3,AB
761,E,C,6,BC
762,B,BC,2,D
763,BC,A,10,A
764,C,C,3,BC
765,BC,A,8,AB
766,BC,BC,9,AB
767,BC,B,0,C
768,AB,B,8,A
769,AB,BC,9,BC
770,D,D,6,E
771,BC,E,9,E
772,D,D,3,BC
773,B,B,9,A
774,BC,B,5,B
775,C,C,2,BC
776,A,BC,9,AB
777,E,D,4,D
778,AB,B,9,B
779,C,C,10,B
780,C,D,1,E
781,C,BC,5,B
782,D,C,1,BC
783,BC,C,4,BC
784,D,D,6,D
785,D,C,4,D
786,AB,AB,6,B
787,D,D,7,BC
788,D,C,1,C
789,D,E,6,E
790,BC,A,4,AB
791,D,D,1,C
792,A,AB,10,AB
793,BC,C,9,BC
794,A,AB,8,A
795,BC,A,3,A
796,C,AB,4,AB
797,AB,AB,9,B
798,C,C,4,AB
799,D,BC,1,BC
800,BC,A,9,AB
801,C,AB,3,B
802,BC,AB,1,B
803,AB,BC,7,C
804,A,A,7,AB
805,B,B,2,B
806,B,C,8,B
807,AB,BC,7,B
808,D,D,2,C
809,BC,BC,4,E
810,D,C,1,AB
811,A,BC,9,AB
812,C,D,2,D
813,BC,AB,5,A
814,C,AB,3,BC
815,E,C,3,BC
816,BC,AB,7,A
817,A,C,9,B
818,B,AB,8,AB
819,D,D,5,E
820,D,D,3,D
821,C,C,5,BC
822,D,D,2,D
823,D,C,4,D
824,D,D,1,D
825,BC,D,2,D
826,A,AB,9,AB
827,D,D,5,C
828,C,BC,7,C
829,BC,E,5,BC
830,BC,BC,6,A
831,A,B,7,B
832,B,B,9,AB
833,D,E,6,C
834,A,BC,3,BC
835,AB,B,9,B
836,BC,AB,10,AB
837,B,AB,6,A
838,A,AB,9,A
839,BC,C,8,AB
840,BC,BC,3,D
841,A,A,7,B
842,AB,C,8,C
843,C,C,8,C
844,BC,BC,1,AB
845,A,A,9,A
846,C,C,4,C
847,BC,BC,8,BC
848,BC,B,2,B
849,C,C,1,C
850,BC,C,0,E
851,D,C,5,C
852,C,E,2,D
853,BC,B,7,AB
854,E,D,6,BC
855,BC,C,10,BC
856,BC,C,1,C
857,BC,C,1,C
858,D,E,2,BC
859,C,D,1,E
860,D,E,2,D
861,C,C,3,C
862,BC,D,2,BC
863,C,D,3,D
864,B,B,8,B
865,D,E,5,E
866,B,BC,9,A
867,E,BC,2,C
868,C,AB,4,AB
869,B,AB,8,AB
870,B,AB,10,A
871,B,B,5,B
872,AB,AB,8,B
873,E,BC,0,B
874,BC,B,9,AB
875,A,B,9,AB
876,C,E,1,E
877,D,C,4,BC
878,C,BC,3,C
879,C,BC,3,C
880,D,E,4,D
881,A,A,9,A
882,A,AB,9,B
883,E,E,1,E
884,D,BC,1,BC
885,D,BC,1,B
886,E,E,2,BC
887,BC,AB,5,AB
888,E,E,1,E
889,B,A,9,B
890,D,E,3,E
891,C,C,8,BC
892,BC,BC,0,B
893,A,A,8,AB
894,E,E,2,E
895,E,E,1,D
896,E,E,4,C
897,B,B,7,AB
898,BC,E,9,C
899,AB,B,7,A
900,E,E,1,D
901,C,BC,5,BC
902,B,C,4,D
903,AB,AB,3,BC
904,E,BC,2,A
905,BC,BC,9,B
906,C,BC,3,B
907,E,BC,1,BC
908,C,B,6,A
909,BC,B,4,C
910,BC,A,4,AB
911,BC,C,4,C
912,B,B,1,BC
913,B,C,5,D
914,A,B,7,AB
915,BC,BC,9,B
916,BC,B,8,AB
917,C,BC,5,C
918,B,AB,4,B
919,BC,BC,6,BC
920,C,C,2,C
921,C,C,10,B
922,E,D,3,E
923,B,C,10,AB
924,A,BC,6,C
925,B,AB,7,AB
926,A,A,3,A
927,C,C,8,AB
928,A,C,8,BC
929,BC,C,1,AB
930,D,C,1,E
931,A,B,10,AB
932,D,BC,1,B
933,C,D,4,D
934,D,D,1,C
935,C,D,7,D
936,C,D,0,C
937,B,BC,9,A
938,BC,D,5,BC
939,C,AB,2,B
940,D,D,6,E
941,C,D,8,E
942,C,BC,7,D
943,B,B,5,B
944,E,E,3,D
945,B,AB,10,AB
946,D,C,1,AB
947,AB,B,5,B
948,E,E,6,E
949,A,AB,8,A
950,C,C,6,AB
951,C,B,3,B
952,D,E,3,E
953,D,D,2,E
954,E,BC,1,C
955,E,E,1,D
956,D,BC,2,BC
957,C,AB,5,A
958,E,E,3,E
959,B,B,7,AB
960,D,C,1,C
961,D,D,1,E
962,D,BC,4,B
963,BC,E,7,D
964,A,BC,9,BC
965,BC,BC,5,C
966,C,D,4,D
967,AB,AB,7,A
968,E,D,0,D
969,BC,BC,7,C
970,D,E,10,C
971,AB,AB,10,AB
972,E,BC,4,E
973,C,BC,2,B
974,D,BC,4,B
975,B,B,8,AB
976,B,BC,7,BC
977,C,C,3,BC
978,AB,B,10,AB
979,B,AB,9,AB
980,C,C,6,C
981,BC,B,5,BC
982,C,E,2,D
983,AB,C,9,BC
984,BC,BC,6,C
985,BC,BC,1,AB
986,C,D,6,D
987,A,AB,2,AB
988,BC,B,4,BC
989,E,BC,3,BC
990,D,C,5,B
991,AB,C,10,BC
992,D,D,2,C
993,BC,BC,8,B
994,D,BC,1,BC
995,D,E,6,BC
996,C,E,7,E
997,C,C,8,B
998,BC,B,4,B
999,A,AB,9,A
1000,B,BC,0,D
